r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,0.000000000000,100000,1.0,0,3355,3354,1118
1.900000,0.000000000000,100000,1.0,0,3355,3354,1118
2.000000,0.000000000000,100000,1.0,0,3355,3354,1118
2.100000,0.000000000000,100000,1.0,0,3355,3354,1118
2.200000,0.001911356838,100000,1.0,0,3355,3354,1118
2.300000,0.025720205058,100000,1.0,0,3355,3354,1118
2.400000,0.139586314254,100000,1.0,0,3355,3354,1118
2.500000,-4.544108723852,100000,1.0,0,3355,3354,1118
2.600000,-60.329975952490,100000,1.0,0,3355,3354,1118
2.700000,-196.859293632509,100000,1.0,0,3355,3354,1118
2.800000,-339.849509163951,100000,1.0,0,3355,3354,1118
2.900000,-429.920251472107,100000,1.0,0,3355,3354,1118
3.000000,-462.386718080417,100000,1.0,0,3355,3354,1118
3.100000,-449.414241627845,100000,1.0,0,3355,3354,1118
3.200000,-403.615746883741,100000,1.0,0,3355,3354,1118
3.300000,-336.719545943204,100000,1.0,0,3355,3354,1118
3.400000,-262.453386236821,100000,1.0,0,3355,3354,1118
3.500000,-193.373491967478,100000,1.0,0,3355,3354,1118
3.600000,-138.456741597352,100000,1.0,0,3355,3354,1118
3.700000,-99.993288527198,100000,1.0,0,3355,3354,1118
3.800000,-75.527011078088,100000,1.0,0,3355,3354,1118
3.900000,-61.529824178794,100000,1.0,0,3355,3354,1118
4.000000,-54.975748024879,100000,1.0,0,3355,3354,1118
4.100000,-55.461060064249,100000,1.0,0,3355,3354,1118
4.200000,-61.132840027558,100000,1.0,0,3355,3354,1118
4.300000,-71.920237796163,100000,1.0,0,3355,3354,1118
4.400000,-86.637891547879,100000,1.0,0,3355,3354,1118
4.500000,-104.845815239531,100000,1.0,0,3355,3354,1118
4.600000,-124.763857717165,100000,1.0,0,3355,3354,1118
4.700000,-145.898640838477,100000,1.0,0,3355,3354,1118
4.800000,-166.060281341926,100000,1.0,0,3355,3354,1118
4.900000,-184.102745201099,100000,1.0,0,3355,3354,1118
5.000000,-199.588896548981,100000,1.0,0,3355,3354,1118
5.100000,-211.871412714386,100000,1.0,0,3355,3354,1118
5.200000,-219.925732377912,100000,1.0,0,3355,3354,1118
5.300000,-223.594838148043,100000,1.0,0,3355,3354,1118
5.400000,-222.864754472812,100000,1.0,0,3355,3354,1118
5.500000,-217.771008062055,100000,1.0,0,3355,3354,1118
5.600000,-208.400758550319,100000,1.0,0,3355,3354,1118
5.700000,-195.956119499667,100000,1.0,0,3355,3354,1118
5.800000,-182.607515966124,100000,1.0,0,3355,3354,1118
5.900000,-169.489253509139,100000,1.0,0,3355,3354,1118
6.000000,-157.308832745326,100000,1.0,0,3355,3354,1118
6.100000,-147.732636113348,100000,1.0,0,3355,3354,1118
6.200000,-140.557759856016,100000,1.0,0,3355,3354,1118
6.300000,-136.735413489460,100000,1.0,0,3355,3354,1118
6.400000,-135.135004528834,100000,1.0,0,3355,3354,1118
6.500000,-136.328108254179,100000,1.0,0,3355,3354,1118
6.600000,-139.403352389755,100000,1.0,0,3355,3354,1118
6.700000,-143.494558010968,100000,1.0,0,3355,3354,1118
6.800000,-148.690678587753,100000,1.0,0,3355,3354,1118
6.900000,-154.538466502330,100000,1.0,0,3355,3354,1118
7.000000,-159.739358695277,100000,1.0,0,3355,3354,1118
7.100000,-164.717086244537,100000,1.0,0,3355,3354,1118
7.200000,-169.119586642612,100000,1.0,0,3355,3354,1118
7.300000,-172.294610309004,100000,1.0,0,3355,3354,1118
7.400000,-174.687227542653,100000,1.0,0,3355,3354,1118
7.500000,-175.791832762472,100000,1.0,0,3355,3354,1118
7.600000,-175.857305783493,100000,1.0,0,3355,3354,1118
7.700000,-175.028486088914,100000,1.0,0,3355,3354,1118
7.800000,-173.276046051655,100000,1.0,0,3355,3354,1118
7.900000,-171.202954737839,100000,1.0,0,3355,3354,1118
8.000000,-168.896950191156,100000,1.0,0,3355,3354,1118
8.100000,-166.666549024141,100000,1.0,0,3355,3354,1118
8.200000,-164.167910421190,100000,1.0,0,3355,3354,1118
8.300000,-162.583599455520,100000,1.0,0,3355,3354,1118
8.400000,-160.863858775803,100000,1.0,0,3355,3354,1118
8.500000,-159.920668137471,100000,1.0,0,3355,3354,1118
8.600000,-159.134619528213,100000,1.0,0,3355,3354,1118
8.700000,-159.389762174399,100000,1.0,0,3355,3354,1118
8.800000,-159.381000430837,100000,1.0,0,3355,3354,1118
8.900000,-160.211324693867,100000,1.0,0,3355,3354,1118
9.000000,-160.719165134825,100000,1.0,0,3355,3354,1118
9.100000,-161.428055272813,100000,1.0,0,3355,3354,1118
9.200000,-162.787391522620,100000,1.0,0,3355,3354,1118
9.300000,-164.475180311332,100000,1.0,0,3355,3354,1118
9.400000,-165.537669128221,100000,1.0,0,3355,3354,1118
9.500000,-165.946369549559,100000,1.0,0,3355,3354,1118
9.600000,-166.526200651155,100000,1.0,0,3355,3354,1118
9.700000,-167.094182250378,100000,1.0,0,3355,3354,1118
9.800000,-167.438980333854,100000,1.0,0,3355,3354,1118
9.900000,-167.160213051474,100000,1.0,0,3355,3354,1118
10.000000,-167.091654456567,100000,1.0,0,3355,3354,1118
10.100000,-166.599252843373,100000,1.0,0,3355,3354,1118
10.200000,-166.160061746371,100000,1.0,0,3355,3354,1118
10.300000,-165.429860294090,100000,1.0,0,3355,3354,1118
10.400000,-164.478299267041,100000,1.0,0,3355,3354,1118
10.500000,-164.120590590394,100000,1.0,0,3355,3354,1118
