r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,0.000000000000,100000,1.0,0,3355,3354,1118
1.900000,0.000000000000,100000,1.0,0,3355,3354,1118
2.000000,0.000000000000,100000,1.0,0,3355,3354,1118
2.100000,0.001341833989,100000,1.0,0,3355,3354,1118
2.200000,0.022412464996,100000,1.0,0,3355,3354,1118
2.300000,0.147290344997,100000,1.0,0,3355,3354,1118
2.400000,0.556990717249,100000,1.0,0,3355,3354,1118
2.500000,1.577044885085,100000,1.0,0,3355,3354,1118
2.600000,3.721194345109,100000,1.0,0,3355,3354,1118
2.700000,7.654459244279,100000,1.0,0,3355,3354,1118
2.800000,14.446798048481,100000,1.0,0,3355,3354,1118
2.900000,24.980265154330,100000,1.0,0,3355,3354,1118
3.000000,41.365876686392,100000,1.0,0,3355,3354,1118
3.100000,63.684679668657,100000,1.0,0,3355,3354,1118
3.200000,87.898150698786,100000,1.0,0,3355,3354,1118
3.300000,105.594977585583,100000,1.0,0,3355,3354,1118
3.400000,109.414344848979,100000,1.0,0,3355,3354,1118
3.500000,99.576850706492,100000,1.0,0,3355,3354,1118
3.600000,78.712203857872,100000,1.0,0,3355,3354,1118
3.700000,53.423699643321,100000,1.0,0,3355,3354,1118
3.800000,26.788762096744,100000,1.0,0,3355,3354,1118
3.900000,2.119778096259,100000,1.0,0,3355,3354,1118
4.000000,-19.227080127111,100000,1.0,0,3355,3354,1118
4.100000,-35.339404064991,100000,1.0,0,3355,3354,1118
4.200000,-46.816195344367,100000,1.0,0,3355,3354,1118
4.300000,-52.506739600950,100000,1.0,0,3355,3354,1118
4.400000,-53.561076491662,100000,1.0,0,3355,3354,1118
4.500000,-51.269635283274,100000,1.0,0,3355,3354,1118
4.600000,-46.350728957309,100000,1.0,0,3355,3354,1118
4.700000,-40.421090492395,100000,1.0,0,3355,3354,1118
4.800000,-33.110060657827,100000,1.0,0,3355,3354,1118
4.900000,-25.234902295110,100000,1.0,0,3355,3354,1118
5.000000,-16.752912559789,100000,1.0,0,3355,3354,1118
5.100000,-7.521565260160,100000,1.0,0,3355,3354,1118
5.200000,2.066757200862,100000,1.0,0,3355,3354,1118
5.300000,11.962536770428,100000,1.0,0,3355,3354,1118
5.400000,21.116024837863,100000,1.0,0,3355,3354,1118
5.500000,30.200251684474,100000,1.0,0,3355,3354,1118
5.600000,38.283344093472,100000,1.0,0,3355,3354,1118
5.700000,44.406700802823,100000,1.0,0,3355,3354,1118
5.800000,48.387862043067,100000,1.0,0,3355,3354,1118
5.900000,49.909094709078,100000,1.0,0,3355,3354,1118
6.000000,48.119041798562,100000,1.0,0,3355,3354,1118
6.100000,43.576871325853,100000,1.0,0,3355,3354,1118
6.200000,36.606177479589,100000,1.0,0,3355,3354,1118
6.300000,28.288771243725,100000,1.0,0,3355,3354,1118
6.400000,19.629647617653,100000,1.0,0,3355,3354,1118
6.500000,11.918397166286,100000,1.0,0,3355,3354,1118
6.600000,4.993992320010,100000,1.0,0,3355,3354,1118
6.700000,-0.121923374341,100000,1.0,0,3355,3354,1118
6.800000,-3.625499993147,100000,1.0,0,3355,3354,1118
6.900000,-5.839626807918,100000,1.0,0,3355,3354,1118
7.000000,-7.057248679284,100000,1.0,0,3355,3354,1118
7.100000,-6.937074427818,100000,1.0,0,3355,3354,1118
7.200000,-6.060496289799,100000,1.0,0,3355,3354,1118
7.300000,-4.486482656104,100000,1.0,0,3355,3354,1118
7.400000,-3.318944519915,100000,1.0,0,3355,3354,1118
7.500000,-1.157802255318,100000,1.0,0,3355,3354,1118
7.600000,0.634636482966,100000,1.0,0,3355,3354,1118
7.700000,2.744427357814,100000,1.0,0,3355,3354,1118
7.800000,5.434775713272,100000,1.0,0,3355,3354,1118
7.900000,7.255158861175,100000,1.0,0,3355,3354,1118
8.000000,9.323623356078,100000,1.0,0,3355,3354,1118
8.100000,11.181388911363,100000,1.0,0,3355,3354,1118
8.200000,13.001987988385,100000,1.0,0,3355,3354,1118
8.300000,13.916356876832,100000,1.0,0,3355,3354,1118
8.400000,14.783005791753,100000,1.0,0,3355,3354,1118
8.500000,15.382366737487,100000,1.0,0,3355,3354,1118
8.600000,15.520903787120,100000,1.0,0,3355,3354,1118
8.700000,15.575538419801,100000,1.0,0,3355,3354,1118
8.800000,15.030022139368,100000,1.0,0,3355,3354,1118
8.900000,14.061128386222,100000,1.0,0,3355,3354,1118
9.000000,13.907907222851,100000,1.0,0,3355,3354,1118
9.100000,12.737474958047,100000,1.0,0,3355,3354,1118
9.200000,11.597741216184,100000,1.0,0,3355,3354,1118
9.300000,10.845149974418,100000,1.0,0,3355,3354,1118
9.400000,9.722553149476,100000,1.0,0,3355,3354,1118
9.500000,9.186211859281,100000,1.0,0,3355,3354,1118
9.600000,8.808055218396,100000,1.0,0,3355,3354,1118
9.700000,8.467458630414,100000,1.0,0,3355,3354,1118
9.800000,7.741441936978,100000,1.0,0,3355,3354,1118
9.900000,7.550322327934,100000,1.0,0,3355,3354,1118
10.000000,7.474352754777,100000,1.0,0,3355,3354,1118
10.100000,7.693435480767,100000,1.0,0,3355,3354,1118
10.200000,7.594381514059,100000,1.0,0,3355,3354,1118
10.300000,7.636969746946,100000,1.0,0,3355,3354,1118
10.400000,7.290094429193,100000,1.0,0,3355,3354,1118
10.500000,7.109533224173,100000,1.0,0,3355,3354,1118
10.600000,7.449574402757,100000,1.0,0,3355,3354,1118
10.700000,7.640765947830,100000,1.0,0,3355,3354,1118
