r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,0.000000000000,100000,1.0,0,3355,3354,1118
1.900000,0.000000000000,100000,1.0,0,3355,3354,1118
2.000000,0.036335104991,100000,1.0,0,3355,3354,1118
2.100000,0.736239100891,100000,1.0,0,3355,3354,1118
2.200000,5.152326238123,100000,1.0,0,3355,3354,1118
2.300000,16.548451562073,100000,1.0,0,3355,3354,1118
2.400000,35.209058225791,100000,1.0,0,3355,3354,1118
2.500000,57.865030928365,100000,1.0,0,3355,3354,1118
2.600000,81.751210924499,100000,1.0,0,3355,3354,1118
2.700000,105.696855383519,100000,1.0,0,3355,3354,1118
2.800000,129.582124126568,100000,1.0,0,3355,3354,1118
2.900000,154.062850327139,100000,1.0,0,3355,3354,1118
3.000000,179.524880007565,100000,1.0,0,3355,3354,1118
3.100000,200.020885245107,100000,1.0,0,3355,3354,1118
3.200000,204.817605665948,100000,1.0,0,3355,3354,1118
3.300000,190.292681171200,100000,1.0,0,3355,3354,1118
3.400000,164.246633911675,100000,1.0,0,3355,3354,1118
3.500000,134.749371975122,100000,1.0,0,3355,3354,1118
3.600000,106.391439062695,100000,1.0,0,3355,3354,1118
3.700000,81.579947519180,100000,1.0,0,3355,3354,1118
3.800000,60.995447974769,100000,1.0,0,3355,3354,1118
3.900000,44.027183999139,100000,1.0,0,3355,3354,1118
4.000000,30.867907430976,100000,1.0,0,3355,3354,1118
4.100000,21.385020368113,100000,1.0,0,3355,3354,1118
4.200000,15.587603698285,100000,1.0,0,3355,3354,1118
4.300000,13.195912238348,100000,1.0,0,3355,3354,1118
4.400000,13.996977561225,100000,1.0,0,3355,3354,1118
4.500000,17.666954838315,100000,1.0,0,3355,3354,1118
4.600000,23.395728458463,100000,1.0,0,3355,3354,1118
4.700000,31.284842412422,100000,1.0,0,3355,3354,1118
4.800000,40.432921114789,100000,1.0,0,3355,3354,1118
4.900000,50.251100785753,100000,1.0,0,3355,3354,1118
5.000000,61.279815578709,100000,1.0,0,3355,3354,1118
5.100000,71.804451380424,100000,1.0,0,3355,3354,1118
5.200000,82.558669855609,100000,1.0,0,3355,3354,1118
5.300000,91.912714163158,100000,1.0,0,3355,3354,1118
5.400000,99.846195469415,100000,1.0,0,3355,3354,1118
5.500000,105.381872373573,100000,1.0,0,3355,3354,1118
5.600000,108.635073490476,100000,1.0,0,3355,3354,1118
5.700000,109.335086526571,100000,1.0,0,3355,3354,1118
5.800000,108.239066889990,100000,1.0,0,3355,3354,1118
5.900000,104.851993970791,100000,1.0,0,3355,3354,1118
6.000000,99.776884929957,100000,1.0,0,3355,3354,1118
6.100000,93.239459615461,100000,1.0,0,3355,3354,1118
6.200000,86.362589523884,100000,1.0,0,3355,3354,1118
6.300000,79.758387383562,100000,1.0,0,3355,3354,1118
6.400000,74.568731367965,100000,1.0,0,3355,3354,1118
6.500000,70.222978285755,100000,1.0,0,3355,3354,1118
6.600000,67.188090665546,100000,1.0,0,3355,3354,1118
6.700000,65.458376596961,100000,1.0,0,3355,3354,1118
6.800000,64.181559564675,100000,1.0,0,3355,3354,1118
6.900000,63.594634685532,100000,1.0,0,3355,3354,1118
7.000000,63.102153725063,100000,1.0,0,3355,3354,1118
7.100000,63.397220002312,100000,1.0,0,3355,3354,1118
7.200000,63.687891060429,100000,1.0,0,3355,3354,1118
7.300000,64.985219077145,100000,1.0,0,3355,3354,1118
7.400000,66.263289905886,100000,1.0,0,3355,3354,1118
7.500000,68.018760679277,100000,1.0,0,3355,3354,1118
7.600000,69.437686660354,100000,1.0,0,3355,3354,1118
7.700000,70.967653635747,100000,1.0,0,3355,3354,1118
7.800000,72.372517997513,100000,1.0,0,3355,3354,1118
7.900000,73.961144810527,100000,1.0,0,3355,3354,1118
8.000000,75.519859513102,100000,1.0,0,3355,3354,1118
8.100000,76.466210181097,100000,1.0,0,3355,3354,1118
8.200000,77.479209737546,100000,1.0,0,3355,3354,1118
8.300000,78.096854818340,100000,1.0,0,3355,3354,1118
8.400000,78.512904425427,100000,1.0,0,3355,3354,1118
8.500000,78.910159560604,100000,1.0,0,3355,3354,1118
8.600000,79.053015458289,100000,1.0,0,3355,3354,1118
8.700000,78.934630728427,100000,1.0,0,3355,3354,1118
8.800000,78.235565235859,100000,1.0,0,3355,3354,1118
8.900000,78.019008743852,100000,1.0,0,3355,3354,1118
9.000000,77.504740199142,100000,1.0,0,3355,3354,1118
9.100000,77.134368022485,100000,1.0,0,3355,3354,1118
9.200000,76.878918909056,100000,1.0,0,3355,3354,1118
9.300000,77.217369224763,100000,1.0,0,3355,3354,1118
9.400000,76.521407656422,100000,1.0,0,3355,3354,1118
9.500000,76.036912511824,100000,1.0,0,3355,3354,1118
9.600000,75.085696204585,100000,1.0,0,3355,3354,1118
9.700000,74.578812670033,100000,1.0,0,3355,3354,1118
9.800000,74.062451496259,100000,1.0,0,3355,3354,1118
9.900000,73.702776399897,100000,1.0,0,3355,3354,1118
10.000000,73.072535590866,100000,1.0,0,3355,3354,1118
10.100000,72.566811450433,100000,1.0,0,3355,3354,1118
10.200000,71.924029150914,100000,1.0,0,3355,3354,1118
10.300000,71.725018233033,100000,1.0,0,3355,3354,1118
10.400000,71.640778604523,100000,1.0,0,3355,3354,1118
10.500000,71.593120516135,100000,1.0,0,3355,3354,1118
10.600000,71.998374373726,100000,1.0,0,3355,3354,1118
10.700000,72.360329808115,100000,1.0,0,3355,3354,1118
10.800000,73.278697362347,100000,1.0,0,3355,3354,1118
