system,ion,q_label,charge_e,r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens,max_o_distance_raw
3_Mg,Mg,q0.0,0.0000000000,0.000000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.100000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.200000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.300000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.400000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.500000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.600000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.700000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.800000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,0.900000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.000000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.100000,0.000000000000,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.200000,0.015340676909,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.300000,0.119114217180,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.400000,0.524668340278,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.500000,1.528037463429,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.600000,3.562309893221,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.700000,7.408132834711,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.800000,13.913014238350,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,1.900000,24.231685850823,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.000000,39.129978906975,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.100000,58.183082457833,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.200000,76.536726215058,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.300000,84.902339953543,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.400000,80.021281271349,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.500000,65.691381821118,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.600000,46.955766956010,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.700000,27.042550880833,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.800000,8.482998389934,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,2.900000,-6.546573931685,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.000000,-17.862424224647,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.100000,-25.609850784371,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.200000,-29.458367847557,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.300000,-29.976643243176,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.400000,-28.301130683035,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.500000,-25.152957419762,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.600000,-20.949810946967,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.700000,-16.167004753620,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.800000,-10.764500441057,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,3.900000,-5.647215193827,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.000000,0.139574281246,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.100000,6.062613212573,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.200000,12.143342933775,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.300000,17.850541985987,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.400000,23.346342630078,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.500000,27.715892274815,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.600000,31.848790040199,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.700000,33.962727416830,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.800000,34.704353468908,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.900000,33.898959439926,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.000000,31.225278366382,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.100000,27.392991577988,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.200000,22.035137286899,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.300000,16.811441375842,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.400000,12.229210645616,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.500000,8.204854808397,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.600000,5.155185924048,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.700000,3.193634894238,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.800000,1.807976212125,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.900000,1.989180085647,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.000000,1.642897011791,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.100000,2.284125634708,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.200000,3.536127814299,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.300000,4.494658467692,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.400000,5.480546096998,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.500000,6.460354851042,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.600000,7.180305999539,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.700000,8.716200148644,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.800000,9.671177486167,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.900000,10.705634953597,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.000000,11.308513518104,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.100000,11.981038220392,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.200000,12.802533137584,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.300000,12.901929959445,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.400000,12.520707664243,100000,1.0,0,3355,3354,1118,20.405614
