r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,-0.001539041813,100000,1.0,0,3355,3354,1118
1.900000,-12.532919421510,100000,1.0,0,3355,3354,1118
2.000000,-272.707418904780,100000,1.0,0,3355,3354,1118
2.100000,-652.826121774466,100000,1.0,0,3355,3354,1118
2.200000,-786.172626630418,100000,1.0,0,3355,3354,1118
2.300000,-810.129755029467,100000,1.0,0,3355,3354,1118
2.400000,-809.360757480061,100000,1.0,0,3355,3354,1118
2.500000,-782.144053573176,100000,1.0,0,3355,3354,1118
2.600000,-687.226863199034,100000,1.0,0,3355,3354,1118
2.700000,-510.669845404834,100000,1.0,0,3355,3354,1118
2.800000,-331.994824143339,100000,1.0,0,3355,3354,1118
2.900000,-235.618755290014,100000,1.0,0,3355,3354,1118
3.000000,-206.335026172076,100000,1.0,0,3355,3354,1118
3.100000,-199.825858284765,100000,1.0,0,3355,3354,1118
3.200000,-197.635299488221,100000,1.0,0,3355,3354,1118
3.300000,-195.843238645851,100000,1.0,0,3355,3354,1118
3.400000,-193.631626515414,100000,1.0,0,3355,3354,1118
3.500000,-191.099309277757,100000,1.0,0,3355,3354,1118
3.600000,-188.742784677059,100000,1.0,0,3355,3354,1118
3.700000,-188.522595881997,100000,1.0,0,3355,3354,1118
3.800000,-194.334059253512,100000,1.0,0,3355,3354,1118
3.900000,-210.399543132612,100000,1.0,0,3355,3354,1118
4.000000,-239.227107728419,100000,1.0,0,3355,3354,1118
4.100000,-280.738273921916,100000,1.0,0,3355,3354,1118
4.200000,-330.243520302772,100000,1.0,0,3355,3354,1118
4.300000,-382.570367880577,100000,1.0,0,3355,3354,1118
4.400000,-430.574578363877,100000,1.0,0,3355,3354,1118
4.500000,-468.868084865667,100000,1.0,0,3355,3354,1118
4.600000,-491.391303803060,100000,1.0,0,3355,3354,1118
4.700000,-495.761120091641,100000,1.0,0,3355,3354,1118
4.800000,-483.027843996147,100000,1.0,0,3355,3354,1118
4.900000,-457.710077726525,100000,1.0,0,3355,3354,1118
5.000000,-424.812808804867,100000,1.0,0,3355,3354,1118
5.100000,-390.370638805158,100000,1.0,0,3355,3354,1118
5.200000,-358.792659699683,100000,1.0,0,3355,3354,1118
5.300000,-332.530736424435,100000,1.0,0,3355,3354,1118
5.400000,-313.111553360714,100000,1.0,0,3355,3354,1118
5.500000,-300.584617273948,100000,1.0,0,3355,3354,1118
5.600000,-293.666645909042,100000,1.0,0,3355,3354,1118
5.700000,-291.255787088639,100000,1.0,0,3355,3354,1118
5.800000,-291.898013874010,100000,1.0,0,3355,3354,1118
5.900000,-295.355796682310,100000,1.0,0,3355,3354,1118
6.000000,-300.575382537543,100000,1.0,0,3355,3354,1118
6.100000,-307.402984165708,100000,1.0,0,3355,3354,1118
6.200000,-315.131186785223,100000,1.0,0,3355,3354,1118
6.300000,-323.921896105954,100000,1.0,0,3355,3354,1118
6.400000,-332.807676378896,100000,1.0,0,3355,3354,1118
6.500000,-341.332364878447,100000,1.0,0,3355,3354,1118
6.600000,-349.565550831786,100000,1.0,0,3355,3354,1118
6.700000,-356.707711866140,100000,1.0,0,3355,3354,1118
6.800000,-362.403154362205,100000,1.0,0,3355,3354,1118
6.900000,-366.380028770923,100000,1.0,0,3355,3354,1118
7.000000,-367.476635550900,100000,1.0,0,3355,3354,1118
7.100000,-366.616394592783,100000,1.0,0,3355,3354,1118
7.200000,-363.912309512169,100000,1.0,0,3355,3354,1118
7.300000,-359.519287185270,100000,1.0,0,3355,3354,1118
7.400000,-353.965333024767,100000,1.0,0,3355,3354,1118
7.500000,-348.282614207916,100000,1.0,0,3355,3354,1118
7.600000,-342.715945737811,100000,1.0,0,3355,3354,1118
7.700000,-338.437163346181,100000,1.0,0,3355,3354,1118
7.800000,-335.456145695065,100000,1.0,0,3355,3354,1118
7.900000,-333.764953624194,100000,1.0,0,3355,3354,1118
8.000000,-332.846376476206,100000,1.0,0,3355,3354,1118
8.100000,-333.395979649215,100000,1.0,0,3355,3354,1118
8.200000,-334.957005395195,100000,1.0,0,3355,3354,1118
8.300000,-336.752348692483,100000,1.0,0,3355,3354,1118
8.400000,-339.350153625503,100000,1.0,0,3355,3354,1118
8.500000,-341.758881951158,100000,1.0,0,3355,3354,1118
8.600000,-344.178053294781,100000,1.0,0,3355,3354,1118
8.700000,-346.154391933862,100000,1.0,0,3355,3354,1118
8.800000,-347.846990189634,100000,1.0,0,3355,3354,1118
8.900000,-348.154015427951,100000,1.0,0,3355,3354,1118
9.000000,-348.921809551730,100000,1.0,0,3355,3354,1118
9.100000,-348.837733414258,100000,1.0,0,3355,3354,1118
9.200000,-348.290165151819,100000,1.0,0,3355,3354,1118
9.300000,-347.718702586573,100000,1.0,0,3355,3354,1118
9.400000,-347.171038885470,100000,1.0,0,3355,3354,1118
9.500000,-346.119631127258,100000,1.0,0,3355,3354,1118
9.600000,-344.760743029993,100000,1.0,0,3355,3354,1118
9.700000,-343.367538609925,100000,1.0,0,3355,3354,1118
9.800000,-342.266628891506,100000,1.0,0,3355,3354,1118
9.900000,-341.215599406063,100000,1.0,0,3355,3354,1118
10.000000,-340.498613264413,100000,1.0,0,3355,3354,1118
10.100000,-340.097567922111,100000,1.0,0,3355,3354,1118
10.200000,-340.151582717937,100000,1.0,0,3355,3354,1118
10.300000,-340.284394238358,100000,1.0,0,3355,3354,1118
10.400000,-340.387269430473,100000,1.0,0,3355,3354,1118
10.500000,-341.202602373678,100000,1.0,0,3355,3354,1118
