,K,0.5,1,CL,-0.5,-1,MG,1,2,
1,,0,0,,0,0,,0,0,1
1.1,,0,0,,0,0,,0,0,1.1
1.2,,0,0,,0,0,,-0.001,-0.001,1.2
1.3,,0,0,,0,0,,-0.009,-0.009,1.3
1.4,,0,0,,0,0,,-0.027,-0.027,1.4
1.5,,0,0,,0,0,,-0.067,-0.067,1.5
1.6,,0,0,,0,0,,-0.137,-0.137,1.6
1.7,,0,0,,0,0,,-0.257,-0.257,1.7
1.8,,-0.005,-0.005,,0,0,,-0.457,-0.695,1.8
1.9,,-0.019,-0.019,,0,0.046,,-1.862,-16.451,1.9
2,,-0.05,-0.05,,0.033,1.01,,-11.388,-28.26,2
2.1,,-0.119,-0.12,,0.319,4.269,,-15.882,-7.52,2.1
2.2,,-0.226,-0.23,,1.081,6.835,,-9.718,-1.479,2.2
2.3,,-0.399,-0.427,,1.888,6.342,,-3.664,-0.1,2.3
2.4,,-0.594,-0.749,,2.312,4.48,,0.516,1.66,2.4
2.5,,-0.829,-2.75,,2.277,2.799,,4.093,7.249,2.5
2.6,,-1.543,-9.532,,2.013,1.651,,7.649,17.507,2.6
2.7,,-3.304,-14.19,,1.67,0.885,,10.219,19.305,2.7
2.8,,-4.577,-11.413,,1.308,0.287,,10.32,9.27,2.8
2.9,,-4.115,-5.417,,0.912,-1.186,,7.848,2.584,2.9
3,,-2.289,0.315,,-0.134,-7.775,,4.963,1.023,3
3.1,,-0.087,4.838,,-2.514,-15.204,,2.9,0.526,3.1
3.2,,1.585,7.935,,-4.742,-14.091,,1.84,0.234,3.2
3.3,,2.691,9.628,,-4.817,-7.123,,1.116,-0.085,3.3
3.4,,3.343,9.723,,-3.146,-0.053,,0.693,-0.24,3.4
3.5,,3.46,8.443,,-1.097,4.471,,0.174,-0.53,3.5
3.6,,3.329,6.512,,0.526,6.227,,-0.465,-1.101,3.6
3.7,,2.791,4.336,,1.472,6.188,,-1.2,-2.238,3.7
3.8,,2.092,2.545,,1.868,5.539,,-2.052,-3.999,3.8
3.9,,1.35,1.129,,1.756,4.655,,-3.038,-6.09,3.9
4,,0.631,-0.015,,1.511,3.774,,-3.966,-7.874,4
4.1,,0.014,-0.967,,1.147,2.878,,-4.617,-8.788,4.1
4.2,,-0.465,-1.828,,0.756,1.97,,-4.914,-8.466,4.2
4.3,,-0.759,-2.47,,0.441,1.164,,-4.978,-7.174,4.3
4.4,,-1.073,-3.163,,0.18,0.348,,-4.495,-4.747,4.4
4.5,,-1.185,-3.552,,0.069,-0.193,,-3.766,-1.771,4.5
4.6,,-1.417,-4.014,,0.026,-0.564,,-2.677,1.291,4.6
4.7,,-1.483,-4.123,,0.122,-0.865,,-1.159,3.936,4.7
4.8,,-1.501,-3.958,,0.151,-1.072,,0.442,5.749,4.8
4.9,,-1.485,-3.695,,0.228,-1.267,,2.03,6.678,4.9
5,,-1.304,-3.23,,0.119,-1.613,,3.184,6.727,5
5.1,,-1.067,-2.461,,-0.098,-1.936,,3.969,6.048,5.1
5.2,,-0.852,-1.636,,-0.259,-2.041,,4.173,4.908,5.2
5.3,,-0.587,-0.732,,-0.543,-2.088,,4.027,3.594,5.3
