K
,rho_P,rho_P,rho_A,rho_A,fold
q,0.5,1,0.5,1,fold
P1st,2.8,2.7,-1.816,-4.49,0.404
V1st,3.5,3.4,2.129,5.54,0.384
P2nd,4.8,4.7,-1.34,-3.584,0.374
V2nd,6,5.8,0.814,2.398,0.34

CL
,rho_P,rho_P,rho_A,rho_A,fold
q,-0.5,-1,-0.5,-1,fold
P1st,2.4,2.2,1.381,2.86,0.483
V1st,3.3,3.1,-1.645,-4.543,0.362
P2nd,3.8,3.6,1.037,3.721,0.279
V2nd,5.6,5.3,-0.679,-1.937,0.35

MG
,rho_P,rho_P,rho_A,rho_A,fold
q,1,2,1,2,fold
P1st,2.1,2,-4.347,-5.5,0.79
V1st,2.8,2.7,5.233,5.936,0.882
P2nd,4.3,4.1,-3.733,-5.31,0.703
V2nd,5.2,5,2.762,4.272,0.647

