r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008944,0.008595,-0.010164,-0.010407,0.001656,0.001805
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022464,0.022829,-0.016347,-0.016800,0.008120,0.007809
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004350,0.004474,0.172329,0.172640,-0.033732,-0.031882,0.042357,0.042848
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018527,0.018914,0.445238,0.447121,-0.147311,-0.143252,0.047687,0.049795
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052603,0.052814,0.919370,0.914382,-0.308252,-0.302815,0.059312,0.070206
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129900,0.130226,1.464480,1.465843,-0.573136,-0.550141,0.072697,0.087386
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.298766,0.299143,2.160877,2.165784,-0.851063,-0.809456,0.023046,0.058288
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586416,0.585622,2.756698,2.761940,-1.238562,-1.195797,-0.157590,-0.110169
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000598,0.000689,1.082888,1.080120,3.229326,3.225566,-1.703922,-1.669610,-0.388939,-0.317740
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002433,0.002583,1.847430,1.846449,3.393250,3.405698,-2.089208,-2.031483,-0.665302,-0.600529
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009012,0.009565,2.928720,2.924194,3.417086,3.431617,-2.471298,-2.438166,-1.122648,-1.029901
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038249,0.038243,4.412207,4.409545,2.992938,3.020829,-2.886500,-2.882918,-1.551280,-1.472669
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126164,0.126829,6.311505,6.301881,1.843983,1.863037,-3.335000,-3.359656,-2.001253,-1.886804
1.4,0.000000,0.000000,0.000000,0.000000,0.000637,0.000757,0.326219,0.325764,8.380615,8.375556,0.543753,0.558271,-3.806173,-3.871769,-2.384631,-2.284688
1.5,0.000000,0.000000,0.000000,0.000000,0.006786,0.006548,0.700144,0.702736,10.455739,10.452010,-1.149623,-1.120595,-4.247472,-4.366485,-2.584271,-2.492451
1.6,0.000000,0.000000,0.000000,0.000000,0.044688,0.044633,1.325052,1.328909,12.288934,12.275334,-2.786289,-2.778314,-4.765593,-4.860047,-2.440783,-2.306504
1.7,0.000000,0.000000,0.002768,0.002931,0.153913,0.155478,2.386061,2.390358,13.306112,13.290545,-4.403239,-4.405046,-4.901086,-5.041590,-2.258401,-2.136043
1.8,0.001467,0.001544,0.018530,0.018894,0.399657,0.404018,4.105446,4.111813,13.355880,13.312963,-5.908952,-5.921690,-4.896088,-5.031697,-2.035965,-1.933791
1.9,0.023759,0.023766,0.102764,0.101200,0.903178,0.910791,6.477058,6.480471,12.432133,12.400155,-7.260823,-7.320880,-4.573847,-4.725599,-1.633089,-1.494999
2,0.104029,0.102942,0.321985,0.322981,1.797358,1.802222,9.754385,9.770508,10.394334,10.393639,-8.279299,-8.254546,-4.067025,-4.223872,-1.263502,-1.161858
2.1,0.377695,0.378036,0.812664,0.814935,3.224971,3.236033,13.540198,13.557643,7.644226,7.675187,-8.627271,-8.589536,-3.397626,-3.505005,-0.725010,-0.720520
2.2,1.062642,1.060828,1.781104,1.778593,5.589760,5.599041,17.091971,17.123759,4.241776,4.221738,-8.490256,-8.409853,-2.334319,-2.461179,-0.105477,-0.166818
2.3,2.511563,2.511136,3.395196,3.389671,9.075595,9.093427,19.928251,19.965807,0.827612,0.765573,-8.028705,-7.934827,-1.050000,-1.070701,0.556660,0.465590
2.4,5.230592,5.226422,6.231484,6.222651,13.826884,13.869603,21.322137,21.359120,-2.301414,-2.296601,-6.954424,-6.843033,0.533452,0.562239,0.950604,0.805060
2.5,9.947721,9.943429,10.803048,10.802545,19.535521,19.563876,20.963857,20.965317,-4.902056,-4.928012,-5.358054,-5.215568,2.035974,2.032023,1.316921,1.093541
2.6,17.928819,17.920601,17.591550,17.583425,25.177555,25.186955,19.336929,19.340409,-6.843956,-6.829698,-3.483943,-3.333783,3.883300,3.823914,1.451471,1.129962
2.7,30.436620,30.444036,27.007719,26.976124,29.624056,29.607722,16.682735,16.632171,-7.830292,-7.923326,-0.825017,-0.691707,5.610152,5.528126,1.429413,1.059232
2.8,48.019701,48.036098,37.401944,37.403709,32.417756,32.372409,13.666351,13.527278,-7.474752,-7.680305,2.332980,2.447041,6.945142,6.892627,1.354307,0.958408
2.9,68.710571,68.743388,47.287340,47.347285,33.363399,33.333286,11.110475,10.920150,-6.679207,-6.872399,5.913616,6.064990,8.163857,8.134039,1.053339,0.626582
3,87.531950,87.514612,54.766912,54.922801,32.397733,32.369007,8.866240,8.706750,-4.545880,-4.773609,9.626659,9.671497,8.885165,8.851946,0.532013,0.133698
3.1,99.150668,99.143031,59.280870,59.401840,30.707552,30.706541,7.325309,7.189723,-1.521879,-1.758932,13.076742,13.065064,9.324183,9.278266,0.300606,0.150190
3.2,99.918884,99.858001,61.186920,61.282968,29.187894,29.218405,6.551783,6.362892,2.401015,2.164131,15.910112,15.902471,8.938591,8.976407,0.102059,0.112683
3.3,89.166559,89.046601,60.349723,60.504829,27.746808,27.728309,7.058693,6.905130,6.495639,6.240859,18.107145,18.091387,8.224054,8.206766,0.166745,0.192476
3.4,69.069346,68.934742,57.701863,57.789275,26.523999,26.490178,7.892756,7.816594,11.290593,11.104466,19.180171,19.061178,7.360153,7.277004,-0.013927,0.206262
3.5,44.420915,44.311510,53.021130,52.935763,25.574707,25.520031,9.794714,9.829861,15.914717,15.874518,19.086966,18.907251,6.387934,6.231305,0.150246,0.568708
3.6,18.230869,18.152792,45.426568,45.298640,24.985675,24.784560,11.793974,11.736994,19.579981,19.616658,18.066320,17.862426,5.238846,5.201463,0.783628,1.258784
3.7,-5.624239,-5.661580,34.314784,34.260663,24.033627,23.871028,13.901583,13.954579,22.605229,22.739022,16.084554,15.881752,4.204950,4.198797,1.676058,2.238536
3.8,-25.228778,-25.216954,21.290063,21.209973,23.110537,22.941147,15.797043,15.681732,24.106933,24.196433,13.712887,13.531961,3.531248,3.647696,2.371790,2.996344
3.9,-39.071571,-39.046786,6.784327,6.747244,21.070141,21.083988,17.455577,17.246562,24.204234,24.434201,11.049816,11.003083,3.176708,3.199096,3.262868,3.810529
4,-48.046716,-48.049892,-6.897527,-6.881347,19.113690,19.038829,18.269112,18.017386,23.251887,23.595824,8.568262,8.436809,3.326112,3.254762,4.504985,4.783941
4.1,-51.717929,-51.753350,-19.192368,-19.137536,15.492211,15.613724,19.176617,18.887484,21.175763,21.403094,6.876738,6.724236,3.798198,3.853603,5.570739,5.739574
4.2,-51.174365,-51.152913,-29.075240,-29.045522,10.931094,11.038853,19.630264,19.414440,19.290151,19.442122,6.121790,6.018889,4.940145,5.055477,6.815148,6.931344
