r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004247,0.004063,0.020999,0.020938,0.004154,0.004155
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000545,0.000560,0.004793,0.003518,0.225488,0.225493,0.014071,0.013640
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000545,0.000560,-0.064092,-0.062390,0.794402,0.795054,0.032932,0.030854
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000545,0.000560,-0.248324,-0.243559,1.772770,1.776013,0.101612,0.096136
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000545,0.000560,-0.662472,-0.649183,3.114802,3.118529,0.233922,0.223998
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003742,-0.003795,-1.235844,-1.203970,4.687429,4.682254,0.503103,0.494945
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.025198,-0.025205,-1.871257,-1.817159,6.321100,6.300494,1.090239,1.077327
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.153735,-0.155480,-2.594793,-2.511013,7.401681,7.373572,1.913419,1.893604
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.647717,-0.648937,-3.428667,-3.313970,7.631569,7.556091,3.067903,3.032581
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.093751,-2.096788,-4.350394,-4.193106,6.969930,6.881714,4.575595,4.541285
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.549798,-5.547072,-5.223105,-5.026645,5.726017,5.654082,6.130039,6.088410
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-11.793530,-11.785005,-6.037117,-5.802606,4.125564,4.017002,7.247582,7.184913
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-20.814919,-20.799260,-7.223416,-6.907148,2.234628,2.032912,7.559379,7.463619
1.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.690444,-31.680342,-7.977133,-7.600050,-0.137578,-0.414763,6.995351,6.849350
1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008942,-0.008910,-43.210158,-43.186101,-9.026891,-8.608867,-2.920832,-3.123895,5.196424,5.077736
1.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.461339,-0.463052,-53.642778,-53.598441,-10.204319,-9.772032,-5.938692,-6.205283,3.307345,3.131251
1.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.399180,-5.398025,-61.809643,-61.765780,-11.840506,-11.400993,-9.052441,-9.320522,1.405519,1.235184
1.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-27.041707,-27.036397,-66.604259,-66.540796,-13.910144,-13.445293,-12.615817,-12.951033,-0.687161,-0.863000
1.9,0.000000,0.000000,0.000000,0.000000,-0.001160,-0.001148,-70.964838,-70.948500,-68.106372,-68.045843,-16.980689,-16.492053,-16.220556,-16.645969,-3.069648,-3.206659
2,0.000000,0.000000,0.000000,0.000000,-0.105998,-0.105853,-123.925980,-123.873952,-66.689209,-66.579437,-20.973539,-20.488396,-19.884848,-20.231300,-5.559953,-5.697815
2.1,0.000000,0.000000,0.000000,0.000000,-6.055428,-6.057263,-168.256468,-168.189127,-63.091975,-63.008019,-25.986917,-25.462515,-23.486982,-23.709919,-7.946146,-8.073451
2.2,0.000000,0.000000,0.000000,0.000000,-54.910766,-54.906007,-197.198813,-197.133914,-58.749846,-58.737370,-32.046881,-31.602717,-26.969476,-27.102924,-10.585111,-10.662631
2.3,0.000000,0.000000,-0.420333,-0.420312,-163.501145,-163.462982,-210.464065,-210.323912,-55.243324,-55.298863,-38.948532,-38.495656,-30.566022,-30.671711,-13.101430,-13.202686
2.4,-0.006925,-0.006724,-20.916881,-20.923830,-267.770377,-267.730762,-207.981424,-207.859743,-53.733296,-53.811661,-46.455605,-46.064307,-34.191612,-34.227486,-15.541945,-15.610214
2.5,-3.776277,-3.775374,-127.415929,-127.447148,-328.420222,-328.309127,-191.765991,-191.692252,-54.185087,-54.320474,-53.787877,-53.671399,-37.641570,-37.698299,-18.120259,-18.109957
2.6,-67.732549,-67.704871,-271.043040,-271.080017,-352.971407,-352.755973,-165.166605,-165.022503,-58.045466,-58.278522,-61.750741,-61.729221,-41.153347,-41.220876,-20.978419,-20.920866
2.7,-234.274594,-234.185211,-364.792254,-364.827470,-350.954367,-350.706909,-135.888753,-135.752688,-63.947056,-64.212449,-69.782364,-69.914317,-44.635916,-44.560123,-24.001218,-23.887361
2.8,-392.274344,-392.171903,-408.836205,-408.912654,-323.498360,-323.240105,-110.719634,-110.593729,-71.852812,-72.233339,-77.641253,-77.985484,-48.040178,-47.972711,-27.456746,-27.237994
2.9,-510.025127,-509.888407,-423.590058,-423.657284,-271.912025,-271.656432,-94.039826,-93.919579,-81.059699,-81.424671,-84.903397,-85.338056,-51.281862,-51.273474,-31.285103,-30.968796
3,-620.656208,-620.503564,-412.461270,-412.571286,-207.997808,-207.776427,-85.738229,-85.601126,-91.903894,-92.218391,-91.995256,-92.716150,-54.926563,-54.942812,-35.464368,-35.008583
3.1,-713.613027,-713.525317,-372.746897,-372.861867,-151.583736,-151.433843,-84.410202,-84.199274,-103.885904,-104.046924,-98.253494,-99.288388,-58.359190,-58.399223,-39.675074,-39.258591
3.2,-738.286370,-738.278135,-313.977867,-314.113382,-115.249024,-115.152249,-88.367205,-88.115072,-116.036579,-116.030506,-103.917492,-104.873660,-62.089426,-62.168277,-43.949917,-43.489667
3.3,-683.975805,-684.022891,-269.908610,-270.060919,-99.222209,-99.225892,-96.508133,-96.341927,-128.037408,-127.975674,-107.896538,-108.867920,-66.183567,-66.098589,-48.512626,-48.018213
3.4,-582.293653,-582.406797,-274.934675,-274.826826,-99.339006,-99.417088,-108.711571,-108.640571,-139.726189,-139.627080,-111.276640,-111.942148,-70.831554,-70.539987,-53.116744,-52.553133
3.5,-472.299953,-472.422886,-323.648010,-323.209885,-114.751733,-115.073791,-124.891664,-124.951654,-150.029606,-149.862849,-113.841590,-114.339227,-75.512515,-75.361934,-57.598791,-56.825423
3.6,-375.128821,-375.240613,-376.802676,-376.446361,-147.170733,-147.475086,-144.200556,-144.377448,-159.690840,-159.381637,-115.200349,-115.475272,-81.082596,-80.862456,-62.139028,-61.214180
3.7,-294.108038,-294.226605,-403.048932,-402.830231,-196.604965,-196.892280,-166.897063,-167.076472,-168.228950,-167.695745,-117.249721,-117.060051,-86.805380,-86.647992,-66.890592,-65.958271
3.8,-230.757041,-230.891975,-397.293339,-397.135897,-255.463490,-255.832094,-192.505848,-192.670632,-176.148772,-175.724433,-119.130326,-118.784170,-92.843035,-92.789204,-71.220685,-70.511172
3.9,-186.007399,-186.145883,-367.913244,-367.852423,-311.363175,-311.605937,-220.535289,-220.589859,-183.469991,-183.195288,-121.835295,-121.220245,-99.039250,-99.033183,-75.309069,-74.768694
4,-157.440036,-157.523422,-324.147745,-324.083148,-352.143235,-352.253153,-248.645159,-248.703198,-190.503436,-190.220240,-125.984075,-125.090744,-105.354898,-105.394657,-79.495378,-79.389480
4.1,-140.195527,-140.265867,-274.428454,-274.382698,-371.953858,-372.150398,-274.471627,-274.549617,-196.423147,-196.103386,-131.118205,-130.147977,-111.491950,-111.485618,-83.989128,-84.283444
4.2,-130.306354,-130.313952,-227.574692,-227.559335,-371.239579,-371.338821,-296.517180,-296.647411,-202.132709,-201.813252,-137.544748,-136.590208,-117.789033,-117.760048,-89.083340,-89.687773
