r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028851,0.028910,0.003826,0.003790
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003679,0.003711,0.207314,0.208037,0.020672,0.020877
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012340,0.012614,0.560583,0.562965,0.111942,0.113873
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059450,0.059008,1.027144,1.030585,0.305010,0.306475
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193330,0.193858,1.342409,1.358053,0.666258,0.667100
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.593773,0.598453,1.417152,1.439072,1.170506,1.172443
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.590522,1.595487,1.350709,1.366528,1.762234,1.758271
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.499328,3.504161,1.244618,1.260810,2.080513,2.085584
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000451,0.000638,6.645503,6.635495,0.712285,0.710308,1.542615,1.540102
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021553,0.020321,10.916148,10.902060,-0.035224,-0.038204,-0.033093,-0.045822
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216448,0.218092,15.506868,15.504789,-1.117283,-1.141825,-2.138067,-2.104426
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.436244,1.445862,19.288051,19.296434,-2.293642,-2.318222,-4.216779,-4.178882
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.001150,6.260214,6.300067,21.650190,21.664369,-3.489525,-3.529805,-6.232350,-6.217797
1.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018325,0.017639,19.385780,19.453336,22.245605,22.258244,-4.126541,-4.168311,-8.200016,-8.197037
1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288820,0.284565,42.784464,42.787998,21.848561,21.859400,-4.085758,-4.047223,-9.674325,-9.692427
1.6,0.000000,0.000000,0.000000,0.000000,0.005695,0.005759,2.269067,2.271940,73.217622,73.235434,21.282534,21.234562,-3.161734,-3.051610,-10.525473,-10.532347
1.7,0.000000,0.000000,0.000000,0.000000,0.370708,0.370452,10.485426,10.517417,101.576492,101.543328,21.240355,21.214687,-1.630040,-1.509522,-10.505999,-10.512880
1.8,0.000000,0.000000,0.020224,0.020421,4.946224,4.943529,31.962569,31.988335,116.235236,116.179202,22.331430,22.285814,0.605010,0.737588,-8.974341,-8.947431
1.9,0.006365,0.006406,1.689118,1.691095,23.130675,23.130315,70.312426,70.445627,110.560176,110.567465,24.711480,24.677635,3.477534,3.654855,-6.027858,-5.914770
2,1.324915,1.326093,20.990790,20.988177,58.694941,58.674027,118.867497,119.053621,92.620657,92.603001,28.230485,28.221085,7.358289,7.599273,-2.282623,-2.178503
2.1,26.011115,26.005665,77.808453,77.853177,102.523146,102.443560,167.376014,167.493043,74.752999,74.693839,32.662928,32.664103,11.880339,12.075956,1.806947,1.935753
2.2,111.513282,111.501105,150.992947,151.068495,145.015327,144.898198,205.779760,205.808884,64.851391,64.796858,37.608478,37.580755,17.095619,17.298160,5.567636,5.714745
2.3,228.709317,228.696635,212.309851,212.453310,181.481785,181.362189,218.772702,218.839249,62.369225,62.321165,42.480995,42.515109,22.790700,22.948906,9.575152,9.681244
2.4,339.374624,339.342090,256.703392,256.856979,212.397616,212.247600,196.318798,196.351392,65.214437,65.042202,47.605949,47.575865,28.700088,28.776990,13.468859,13.565880
2.5,443.506326,443.473574,290.738913,290.925352,239.846588,239.661194,161.547246,161.571558,70.815135,70.655391,52.446190,52.471297,34.843770,34.935213,17.463569,17.480400
2.6,536.713651,536.745962,321.734588,321.823856,264.426263,264.289333,138.583105,138.600444,78.010486,77.892424,58.175758,58.096977,40.991681,41.075514,21.433220,21.390205
2.7,602.914257,602.939403,355.981785,355.968857,278.328127,278.263487,128.926192,128.885415,85.761460,85.705483,64.526488,64.413671,47.111436,47.141356,25.416148,25.401641
2.8,641.711327,641.763470,397.812400,397.766418,266.678919,266.595962,127.029425,127.021071,93.483621,93.405314,72.489982,72.324358,53.310052,53.302863,29.630569,29.518061
2.9,662.576767,662.656323,434.381191,434.357720,234.860028,234.690162,128.879162,128.885692,101.259208,101.189890,81.177082,80.879364,59.366372,59.324953,33.824266,33.798558
3,660.692215,660.761294,421.514533,421.529599,206.396600,206.323476,132.581086,132.613160,108.753164,108.899004,90.338235,89.976896,65.241256,65.130583,38.390000,38.415627
3.1,577.483694,577.551383,371.023061,371.118610,197.811661,197.838961,138.107718,138.262296,116.967103,117.186461,99.554057,99.191541,70.665052,70.587403,43.050165,43.055531
3.2,424.683333,424.745130,334.746049,334.833299,209.582166,209.714319,146.043469,146.311390,125.863912,125.995255,108.625448,108.255478,76.445128,76.313065,47.916899,48.008117
3.3,287.540071,287.616550,328.648046,328.651510,233.744967,233.908585,156.604979,156.945584,136.312315,136.526724,117.422454,117.304519,82.243780,82.113478,52.772865,52.865474
3.4,188.296608,188.424725,338.030306,338.096983,262.838032,263.115060,171.029577,171.474629,149.419668,149.645812,125.896526,126.005621,88.637373,88.605050,58.042841,58.215163
3.5,117.414563,117.444324,345.321012,345.400195,291.784178,291.903247,189.683870,190.070139,165.862731,166.251733,134.095656,134.406352,95.324574,95.281997,63.422485,63.493522
3.6,85.910095,85.958865,338.663425,338.842768,316.113611,316.257569,212.627571,213.019247,185.750815,186.330686,142.129124,142.670531,102.187775,102.178903,69.189000,68.996471
3.7,95.233763,95.213179,314.809558,314.964338,331.672732,331.704456,238.679913,238.870536,207.560999,208.164961,150.212218,150.839182,108.839469,108.848696,75.069026,74.858415
3.8,128.744530,128.693911,277.156016,277.396038,336.337856,336.324180,267.400219,267.643968,230.184215,230.805880,157.805702,158.518196,115.977937,115.811807,81.098605,80.928120
3.9,167.764495,167.767009,233.582778,233.655030,331.008642,330.854355,297.659535,297.666693,251.184738,251.548900,164.966792,165.531060,122.944565,122.673211,87.409136,87.278350
4,204.088236,204.021956,197.806634,197.761539,319.800954,319.728341,327.166420,326.926331,268.388448,268.607655,172.160352,172.665742,129.922367,129.742500,93.832814,93.578933
4.1,235.937305,235.897168,182.605128,182.405871,304.904421,304.687734,353.353888,352.930604,281.558631,281.571917,178.874432,179.302690,137.471265,137.393138,100.597024,100.460354
4.2,265.455455,265.414995,190.757137,190.702717,289.534795,289.449976,371.024853,370.657380,289.918014,289.418936,186.326816,186.737173,145.116927,145.153276,107.471509,107.408306
4.3,293.577610,293.531964,214.400504,214.347070,275.011324,274.822036,377.288306,376.926846,294.059122,293.163315,194.583048,195.028965,153.198365,153.382360,114.758225,114.731166
4.4,321.113968,321.067933,244.026128,244.054828,262.318515,262.253782,372.537950,372.125920,294.692282,293.842625,203.939068,204.070452,161.181972,161.552688,121.697989,121.726718
4.5,346.578999,346.575842,272.177832,272.239772,252.148229,252.222722,358.836061,358.709838,292.914618,292.088682,214.457220,214.501172,169.482100,169.925599,128.975160,128.972659
4.6,368.424860,368.446240,295.496384,295.568591,248.288631,248.232894,339.981904,340.059705,290.934886,290.011155,226.057387,226.052579,178.273842,178.609546,136.583193,136.481215
4.7,385.263286,385.275004,314.096099,314.148429,253.622160,253.584037,317.842236,317.887709,288.404490,287.699175,238.335255,238.146532,187.119755,187.488291,144.063771,143.893591
4.8,396.267902,396.302037,327.247777,327.193556,264.925860,264.951337,294.283274,294.240911,284.477408,284.089469,250.686299,250.407746,196.598643,196.723342,151.437372,151.707644
4.9,400.937925,400.978197,336.170418,336.147672,277.434464,277.556749,269.713416,269.943139,279.877327,279.761333,262.915751,262.139870,206.105024,206.230964,159.030746,159.398238
5,400.632462,400.664324,341.439697,341.389660,287.509388,287.609126,245.946658,246.273229,274.477239,274.742816,275.195486,274.188386,215.660872,215.534120,166.608659,167.240621
5.1,395.311955,395.352961,342.566648,342.558840,294.452335,294.476327,227.324513,227.495321,268.848347,269.477871,286.142041,285.248509,224.789438,224.668253,174.446191,175.169575
5.2,385.773687,385.837901,341.472960,341.496501,297.464722,297.487258,218.550463,218.683970,262.687468,263.471430,292.605017,292.112758,233.851825,233.771968,182.666961,182.939111
5.3,373.027003,373.087607,337.675747,337.734348,297.077848,296.981865,219.362667,219.545400,255.265687,255.879420,294.077132,293.640311,242.877016,242.904646,190.821140,191.306332
5.4,357.637496,357.692506,332.498006,332.556416,295.113664,294.930518,226.045283,226.253010,246.781733,247.461713,290.528984,290.418828,252.148025,252.449017,199.286515,199.759281
5.5,341.767259,341.800863,325.596307,325.675759,291.632570,291.330103,234.832171,234.944460,237.121872,237.769099,283.418258,283.351775,261.062971,261.465021,208.152266,208.596762
5.6,326.603206,326.624270,318.302374,318.409838,287.872743,287.511310,243.619723,243.666549,229.181780,229.573052,273.762435,274.272616,268.993320,269.180888,216.939153,217.230425
5.7,313.645015,313.643250,310.862227,310.945134,284.855162,284.524421,251.733999,251.680680,227.938934,227.992810,263.458999,264.019945,274.395945,274.381969,225.681254,225.837122
5.8,303.745719,303.768299,304.143595,304.129588,283.115137,282.822140,257.648253,257.575917,232.216226,232.153397,252.158148,252.943158,275.396706,275.378548,235.239930,235.220210
5.9,297.477468,297.497660,299.129423,299.131905,282.511983,282.253388,263.076571,262.982471,240.306378,240.008341,240.365398,241.433964,272.922613,272.629951,245.153413,245.016350
6,294.344621,294.343423,296.081918,296.114264,282.583719,282.319088,267.755403,267.657655,249.329801,249.097187,229.352992,230.295573,267.768669,267.452650,254.671319,254.580474
6.1,294.926331,294.914382,294.715118,294.774595,282.481021,282.333192,272.384662,272.230088,256.785440,256.503319,221.587764,222.331060,261.316744,260.447969,264.180464,264.037738
6.2,298.642714,298.627153,293.885168,293.939868,282.273277,282.201506,276.537173,276.500349,263.161865,262.804327,219.427083,219.679036,253.044425,252.498222,269.788967,269.889614
6.3,304.410345,304.382367,293.801198,293.813458,282.524562,282.560966,280.735431,280.635254,267.698024,267.384012,222.728501,222.675303,244.424658,243.979420,271.251183,271.222375
6.4,310.943114,310.892105,293.936830,293.931421,282.217626,282.309844,284.443394,284.314905,270.847890,270.485786,228.421216,228.158365,235.120110,234.909732,268.893973,268.927982
