r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.035321,-0.034836,0.013022,0.013089,0.004155,0.004154
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.362290,-0.339463,0.104193,0.102305,0.016356,0.016182
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.386517,-1.244700,0.313486,0.296417,0.071757,0.070177
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001035,0.001180,-3.422435,-2.949695,0.680758,0.609843,0.189546,0.182762
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002077,0.002323,-6.357960,-5.231518,1.244324,1.052176,0.441039,0.410184
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014323,0.017680,-9.563210,-7.401100,1.942591,1.552081,0.971846,0.865911
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079191,0.099828,-12.617361,-8.828060,2.550716,1.978760,1.843744,1.561218
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.372724,0.485866,-15.146904,-9.127252,2.950641,2.270180,2.907589,2.265736
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.400293,1.871601,-17.220070,-8.463208,2.816828,2.214493,3.972769,2.673935
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.207310,5.760453,-19.199691,-7.731203,2.135353,1.807261,4.876268,2.570750
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.633661,13.424575,-20.762335,-6.884675,1.181328,1.323220,5.478788,1.866317
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018372,0.023043,17.335637,24.768212,-22.065696,-6.180191,0.054374,0.778144,5.847368,0.936058
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.256791,0.324819,24.399244,36.697030,-22.468888,-4.996862,-1.014612,0.390081,5.444127,-0.546889
1.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.710617,2.200513,25.276656,43.273016,-22.041424,-3.261746,-2.240293,0.260764,4.202149,-2.321615
1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.473823,8.438602,16.151783,40.366193,-21.063636,-1.085765,-3.358796,0.557850,1.960544,-4.596667
1.6,0.000000,0.000000,0.000000,0.000000,0.005386,0.006151,16.272258,21.418788,-1.999007,28.449639,-19.302605,1.755067,-4.301937,1.254585,-0.707569,-6.871984
1.7,0.000000,0.000000,0.000000,0.000000,0.062665,0.073586,29.985659,39.712265,-22.662044,13.416367,-17.153501,5.014452,-5.478625,2.020002,-3.186962,-8.510655
1.8,0.000000,0.000000,0.000000,0.000000,0.510014,0.612714,44.196301,58.755655,-40.844592,-0.164504,-14.933065,8.563315,-6.635240,3.220102,-5.729292,-9.221945
1.9,0.000000,0.000000,0.000000,0.000000,2.064244,2.514406,55.594722,74.394529,-53.700677,-9.482063,-12.274023,12.791213,-7.822978,4.676127,-7.866806,-8.440504
2,0.000669,0.000704,0.020690,0.023467,5.301063,6.531382,57.478629,80.550731,-60.747859,-13.668114,-9.773478,17.253548,-9.150479,6.415268,-9.821291,-6.541812
2.1,0.001306,0.001380,0.156637,0.181535,10.239570,12.767982,39.624476,68.618201,-62.746597,-13.143654,-7.105439,22.435946,-10.842425,8.242816,-11.534432,-4.017102
2.2,0.045028,0.050403,0.811313,0.966841,16.671192,21.121754,7.544577,43.825316,-60.149639,-8.005676,-4.547118,27.866575,-12.552613,10.450152,-13.115052,-1.141368
2.3,0.432537,0.505232,2.903732,3.580306,24.812038,32.039117,-22.271755,21.013646,-53.512168,1.439029,-2.458687,33.444440,-14.858827,12.438611,-14.489450,1.797088
2.4,2.495063,3.020661,7.895895,10.056432,34.483812,45.753179,-41.789304,7.684000,-44.409265,13.736504,-1.131996,38.781863,-17.493726,14.300266,-15.682110,4.988787
2.5,8.945770,11.155610,17.469988,22.916921,43.673226,60.907259,-52.342955,3.191174,-35.212753,26.875867,-0.508171,43.836955,-20.672571,16.059364,-16.639211,8.159837
2.6,22.179934,28.156866,32.349136,43.483363,50.178624,75.765354,-56.681733,5.484487,-27.429005,39.232773,-1.631978,47.587800,-23.986188,17.817145,-17.308998,11.448042
2.7,40.779805,52.066344,52.053968,71.356670,53.303958,89.502913,-57.469728,12.160301,-22.051933,49.714610,-4.737617,49.910682,-27.425306,19.674553,-17.756467,14.946736
2.8,61.013500,77.542804,74.151646,103.639040,51.619147,100.581602,-54.832224,23.022624,-18.806539,58.449338,-9.372965,51.108786,-30.607311,21.858383,-18.235297,18.428749
2.9,80.798675,101.485576,92.706940,134.106190,42.958643,106.920051,-49.901155,36.885761,-17.605591,65.378296,-15.684824,51.087115,-33.667276,24.332375,-18.701608,21.923141
3,96.848315,121.051078,99.410173,155.468637,27.236379,107.884063,-44.636289,51.312144,-17.699981,71.041266,-22.745696,50.828412,-35.692644,27.860451,-19.618238,25.191167
3.1,100.546133,129.792290,88.547785,162.642670,4.756752,103.060234,-41.784555,63.454294,-18.996532,75.909604,-29.986260,50.784995,-36.908761,32.217356,-20.717002,28.418332
3.2,87.826702,124.507767,61.806857,155.688164,-21.174166,94.338830,-41.220329,73.006269,-21.181636,80.242868,-37.385151,50.741517,-37.277581,37.441154,-22.132397,31.654367
3.3,65.738349,109.913605,24.084137,135.871239,-46.906560,84.257656,-41.716864,81.337970,-22.851436,85.636922,-43.577025,51.965201,-37.111752,43.116686,-23.945934,34.727763
3.4,39.794744,88.558132,-16.669880,108.292534,-69.141440,75.154803,-41.737445,89.595276,-24.249289,91.776284,-49.108399,54.078247,-36.871452,49.115321,-26.170849,37.764868
3.5,10.216350,58.929518,-55.695263,76.483530,-85.001806,69.960232,-40.403773,99.058853,-25.598357,98.287910,-53.561146,57.426470,-36.686579,55.183173,-28.756893,40.649761
3.6,-20.182243,24.299789,-90.517878,43.713267,-93.258507,70.154226,-37.338402,109.977402,-26.776231,105.594517,-57.010795,61.746325,-36.935262,61.106778,-31.337772,43.684025
3.7,-42.963203,-4.128876,-116.516140,14.752601,-95.046366,73.570255,-33.499849,121.687855,-29.046980,112.258226,-60.174356,66.747674,-37.990235,66.329545,-34.252160,46.750674
3.8,-54.420926,-20.475259,-128.236281,-4.560098,-92.482531,77.631121,-29.430910,133.970084,-32.827569,117.688252,-62.878254,72.184244,-39.879745,71.184300,-37.523492,49.710244
3.9,-55.551826,-25.212943,-125.705074,-13.118284,-88.493701,80.985438,-27.230101,145.477163,-39.189336,121.322638,-65.368089,78.014309,-42.290052,75.765380,-40.495983,53.024531
4,-50.662761,-22.924015,-114.008659,-14.122900,-85.727699,82.994837,-28.046250,155.532952,-48.439428,122.578254,-67.779041,84.189753,-45.323714,80.040605,-43.543544,56.735624
