r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000460,0.000463,0.005072,0.005214,-0.016265,-0.016275
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002754,0.002783,0.010864,0.011309,-0.034530,-0.034011
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008691,0.008836,0.052988,0.053269,-0.094585,-0.091702
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022952,0.023098,0.189189,0.190229,-0.138514,-0.138315
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054351,0.054090,0.445819,0.444851,-0.317746,-0.312113
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116592,0.115848,0.845720,0.845663,-0.507248,-0.495620
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243616,0.242150,1.300878,1.298226,-0.772733,-0.750873
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.437958,0.435026,1.764800,1.765660,-1.084553,-1.059522
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.781756,0.779102,1.966832,1.953576,-1.468264,-1.432622
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000518,0.000521,1.310753,1.308339,2.080092,2.057428,-1.679907,-1.664589
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001609,0.001485,2.056840,2.054144,2.095949,2.065242,-2.061903,-2.061431
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006231,0.005931,3.075015,3.074045,1.779797,1.747024,-2.560787,-2.546184
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028296,0.027591,4.372790,4.371759,1.161764,1.133876,-2.963335,-2.960591
1.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087498,0.088111,5.910457,5.917164,0.516304,0.510917,-3.449016,-3.465946
1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218730,0.220615,7.499201,7.514065,-0.606393,-0.608843,-3.991629,-3.967667
1.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001097,0.001085,0.482647,0.485738,9.198651,9.207971,-1.844353,-1.803032,-4.309634,-4.262576
1.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009457,0.009804,0.964916,0.969550,10.528126,10.553409,-3.227574,-3.161960,-4.547662,-4.529497
1.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045713,0.045673,1.748973,1.759040,11.380388,11.401720,-4.592994,-4.524201,-4.784630,-4.758360
1.9,0.000000,0.000000,0.000000,0.000000,0.000574,0.000578,0.145334,0.144336,3.007111,3.012684,11.630385,11.655218,-5.817182,-5.755867,-4.656556,-4.588075
2,0.000000,0.000000,0.000000,0.000000,0.007297,0.007339,0.357621,0.358895,4.737541,4.735922,11.012082,11.031688,-6.878457,-6.833598,-4.663101,-4.546205
2.1,0.000000,0.000000,0.000000,0.000000,0.044046,0.043715,0.793583,0.797609,7.118614,7.114166,9.347170,9.365723,-7.786657,-7.719323,-4.057134,-3.974290
2.2,0.000000,0.000000,0.008194,0.008157,0.156025,0.155526,1.544442,1.548650,9.999500,9.985333,7.020487,7.020671,-8.228651,-8.186693,-3.250141,-3.147379
2.3,0.005926,0.006058,0.046705,0.047191,0.418440,0.416331,2.752959,2.759540,13.000802,12.994058,4.164359,4.185101,-8.162260,-8.120078,-2.184245,-2.064339
2.4,0.049929,0.049341,0.165441,0.164467,0.894992,0.891181,4.548212,4.556019,15.620444,15.603125,0.931923,0.984588,-7.991970,-7.936493,-1.055114,-0.908941
2.5,0.243597,0.242310,0.463337,0.461397,1.763092,1.768732,7.204207,7.209476,17.464322,17.441694,-2.085770,-2.070990,-7.226711,-7.164863,0.128725,0.225934
2.6,0.742214,0.739221,1.142054,1.139726,3.213516,3.229758,10.779504,10.782221,18.110805,18.079837,-5.040983,-4.994668,-5.968197,-5.888109,1.644075,1.743105
