r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009267,0.009197,0.002405,0.002341,-0.002077,-0.002078
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051407,0.051057,0.013142,0.014542,-0.025214,-0.024650
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183136,0.179412,-0.021892,-0.015213,-0.054947,-0.057242
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.440960,0.425726,-0.041753,-0.009920,-0.097832,-0.106371
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.876934,0.830977,-0.223312,-0.125266,-0.218059,-0.233190
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000507,0.000580,1.516764,1.414917,-0.315870,-0.143251,-0.379663,-0.396763
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000507,0.000580,2.380182,2.189182,-0.412244,-0.135983,-0.571544,-0.604797
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006055,0.005674,3.407838,3.114302,-0.612462,-0.221180,-0.968493,-0.983850
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019771,0.018365,4.538718,4.125145,-0.753018,-0.246209,-1.432592,-1.402408
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058245,0.052218,5.797796,5.236000,-1.070409,-0.441652,-1.696361,-1.589685
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150394,0.133934,7.004374,6.308402,-1.470268,-0.733832,-2.241770,-1.995459
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000694,0.000541,0.347377,0.308507,7.908976,7.117584,-1.876439,-1.041991,-2.788617,-2.371341
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001289,0.001112,0.744394,0.654287,8.220764,7.414041,-2.525957,-1.598235,-3.240902,-2.651975
1.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008578,0.007683,1.396137,1.232186,7.945339,7.210556,-3.346889,-2.282791,-3.714246,-2.970305
1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044632,0.039665,2.446589,2.158598,7.096045,6.497411,-4.022825,-2.856914,-3.895917,-3.051704
1.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125745,0.111509,4.030122,3.542966,5.447664,5.068959,-4.860367,-3.575092,-4.067163,-3.132492
1.7,0.000000,0.000000,0.000000,0.000000,0.003539,0.002802,0.316425,0.274948,6.177664,5.415996,3.505603,3.405530,-5.579417,-4.198913,-4.060982,-3.043425
1.8,0.000000,0.000000,0.000000,0.000000,0.019764,0.016875,0.715180,0.619070,8.769244,7.680893,0.977184,1.217686,-6.151225,-4.679592,-3.860807,-2.810085
1.9,0.000000,0.000000,0.001418,0.001233,0.082726,0.069611,1.371774,1.199210,11.656317,10.215872,-1.549608,-0.934911,-6.502094,-4.991596,-3.339391,-2.284410
2,0.000712,0.000651,0.011180,0.009319,0.247435,0.209420,2.509457,2.190595,14.487741,12.681107,-4.318449,-3.292500,-6.448060,-4.903790,-2.777628,-1.744520
