r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004697,-0.004532,0.031163,0.031345,0.002498,0.002350
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000545,0.000560,-0.017671,-0.019311,0.241835,0.242293,0.005951,0.005831
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003805,-0.003914,-0.236421,-0.235030,0.828134,0.826936,-0.009425,-0.011994
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.017982,-0.018354,-0.693562,-0.690680,1.920081,1.919265,0.053925,0.046341
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052058,-0.052254,-1.581842,-1.563565,3.423054,3.421344,0.174610,0.153792
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.133642,-0.134021,-2.700324,-2.669813,5.260565,5.232395,0.430406,0.407559
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.323964,-0.324348,-4.032134,-3.982943,7.172163,7.109950,1.067193,1.019039
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.740151,-0.741102,-5.351491,-5.272953,8.640243,8.569369,2.071009,2.003773
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000598,-0.000689,-1.730605,-1.729057,-6.657993,-6.539536,9.335491,9.225701,3.456842,3.350321
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002433,-0.002583,-3.941181,-3.943237,-7.743644,-7.598804,9.059138,8.913197,5.240897,5.141814
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009012,-0.009565,-8.478518,-8.471266,-8.640191,-8.458262,8.197315,8.092248,7.252687,7.118311
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.038249,-0.038243,-16.205737,-16.194550,-9.030055,-8.823435,7.012064,6.899920,8.798862,8.657582
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.126164,-0.126829,-27.126424,-27.101141,-9.067399,-8.770185,5.569628,5.392568,9.560632,9.350423
1.4,0.000000,0.000000,0.000000,0.000000,-0.000637,-0.000757,-0.326219,-0.325764,-40.071059,-40.055898,-8.520886,-8.158321,3.668595,3.457006,9.379982,9.134038
1.5,0.000000,0.000000,0.000000,0.000000,-0.006786,-0.006548,-0.709086,-0.711646,-53.665897,-53.638111,-7.877268,-7.488272,1.326640,1.242590,7.780695,7.570187
1.6,0.000000,0.000000,0.000000,0.000000,-0.044688,-0.044633,-1.786391,-1.791961,-65.931712,-65.873775,-7.418030,-6.993718,-1.173099,-1.345236,5.748128,5.437755
1.7,0.000000,0.000000,-0.002768,-0.002931,-0.153913,-0.155478,-7.785241,-7.788383,-75.115755,-75.056325,-7.437267,-6.995947,-4.151355,-4.278932,3.663920,3.371227
1.8,-0.001467,-0.001544,-0.018530,-0.018894,-0.399657,-0.404018,-31.147153,-31.148210,-79.960139,-79.853759,-8.001192,-7.523603,-7.719729,-7.919336,1.348804,1.070791
1.9,-0.023759,-0.023766,-0.102764,-0.101200,-0.904338,-0.911939,-77.441896,-77.428971,-80.538505,-80.445998,-9.719866,-9.171173,-11.646709,-11.920370,-1.436559,-1.711660
2,-0.104029,-0.102942,-0.321985,-0.322981,-1.903356,-1.908075,-133.680365,-133.644460,-77.083543,-76.973076,-12.694240,-12.233850,-15.817823,-16.007428,-4.296451,-4.535957
