r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.044588,-0.044033,0.010617,0.010748,0.006232,0.006232
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.413697,-0.390520,0.091051,0.087763,0.041570,0.040832
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.569653,-1.424112,0.335378,0.311630,0.126704,0.127419
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001035,0.001180,-3.863395,-3.375421,0.722511,0.619763,0.287378,0.289133
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002077,0.002323,-7.234894,-6.062495,1.467636,1.177442,0.659098,0.643374
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013816,0.017100,-11.079974,-8.816017,2.258461,1.695332,1.351509,1.262674
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078684,0.099248,-14.997543,-11.017242,2.962960,2.114743,2.415288,2.166015
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366669,0.480192,-18.554742,-12.241554,3.563103,2.491360,3.876082,3.249586
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.380522,1.853236,-21.758788,-12.588353,3.569846,2.460702,5.405361,4.076343
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.149065,5.708235,-24.997487,-12.967203,3.205762,2.248913,6.572629,4.160435
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.483267,13.290641,-27.766709,-13.193077,2.651596,2.057052,7.720558,3.861776
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017678,0.022502,16.988260,24.459705,-29.974672,-13.297775,1.930813,1.820135,8.635985,3.307399
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255502,0.323707,23.654850,36.042743,-30.689652,-12.410903,1.511345,1.988316,8.685029,2.105086
1.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.702039,2.192830,23.880519,42.040830,-29.986763,-10.472302,1.106596,2.543555,7.916395,0.648690
1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.429191,8.398937,13.705194,38.207595,-28.159681,-7.583176,0.664029,3.414764,5.856461,-1.544963
1.6,0.000000,0.000000,0.000000,0.000000,0.005386,0.006151,16.146513,21.307279,-6.029129,24.906673,-24.750269,-3.313892,0.558430,4.829677,3.359594,-3.739492
1.7,0.000000,0.000000,0.000000,0.000000,0.059126,0.070784,29.669234,39.437317,-28.839708,8.000371,-20.659104,1.608922,0.100792,6.218915,0.874020,-5.467230
1.8,0.000000,0.000000,0.000000,0.000000,0.490250,0.595839,43.481121,58.136585,-49.613836,-7.845397,-15.910249,7.345629,-0.484015,7.899694,-1.868485,-6.411860
1.9,0.000000,0.000000,-0.001418,-0.001233,1.981518,2.444795,54.222948,73.195319,-65.356994,-19.697935,-10.724415,13.726124,-1.320884,9.667723,-4.527415,-6.156094
2,-0.000043,0.000053,0.009510,0.014148,5.053628,6.321962,54.969172,78.360136,-75.235600,-26.349221,-5.455029,20.546048,-2.702419,11.319058,-7.043663,-4.797292
2.1,-0.007790,-0.006553,0.089138,0.125378,9.651615,12.267576,35.406595,64.936669,-79.160532,-27.513908,-0.471176,27.685982,-4.510767,12.989065,-9.406190,-2.867477
2.2,-0.024960,-0.008429,0.578240,0.769821,15.428890,20.054853,0.763286,37.914229,-77.284778,-23.024562,4.227739,34.958622,-6.756736,14.674252,-11.787956,-0.747050
2.3,0.134234,0.252200,2.275776,3.043877,22.426832,29.990486,-32.512002,12.070491,-70.236891,-13.261722,7.843846,41.839160,-9.627868,16.183432,-14.204436,1.227473
2.4,1.629969,2.284490,6.456823,8.824820,30.181787,42.044275,-56.231096,-4.930647,-59.510022,0.448704,9.915944,47.795558,-13.344508,17.050510,-16.521744,3.409658
2.5,6.801608,9.320196,14.620191,20.475346,36.421527,54.640638,-71.014451,-13.115432,-47.440927,16.041468,10.578388,52.847232,-17.920966,17.601362,-18.571295,5.733340
2.6,17.690222,24.274628,26.975974,38.861583,38.561327,65.697441,-78.846149,-13.918254,-36.225652,31.386231,9.099035,56.252871,-23.018039,17.756067,-20.133085,8.279779
2.7,32.161060,44.532524,42.601937,63.213275,35.827357,74.329858,-81.996340,-9.348742,-27.167600,45.067692,4.474638,57.186547,-28.695032,17.626975,-21.407164,11.141149
2.8,45.399656,63.780749,58.296910,89.941507,27.440524,79.546963,-79.897716,1.024729,-20.713725,56.610985,-2.142975,56.516708,-34.099581,17.916857,-22.394504,14.262470
2.9,54.031924,77.684490,67.579377,112.322485,12.221269,80.120917,-73.813306,15.865427,-16.522152,66.169407,-11.026591,54.108000,-39.511090,18.324562,-23.180908,17.641340
3,53.846512,82.475842,62.557744,123.398394,-8.675270,76.523506,-66.374924,32.121349,-14.784070,73.349400,-21.372865,50.824036,-43.852884,19.938977,-24.168295,20.990799
3.1,37.495577,72.637464,39.292955,119.630044,-34.083342,69.055730,-60.826675,46.560876,-15.172491,78.884190,-32.584076,47.139704,-47.134476,22.652685,-24.880414,24.646160
3.2,5.341323,48.698235,1.777690,103.054081,-61.182120,59.183001,-57.777650,58.201103,-17.262042,83.170616,-44.328440,43.215484,-48.899341,26.884917,-26.069475,28.243415
3.3,-30.031036,20.232151,-43.517588,76.281729,-86.527555,49.341323,-56.079148,68.422840,-20.148951,87.375926,-55.089566,40.417791,-49.775355,31.800844,-27.284842,31.900789
3.4,-59.825505,-7.117270,-88.345343,44.693371,-108.073466,40.769316,-54.685070,77.923752,-24.173041,91.097637,-64.912432,38.921522,-49.829732,37.841012,-29.037606,35.293110
3.5,-82.937265,-33.404977,-126.877164,12.569338,-122.108563,37.045087,-53.120329,87.510933,-28.857212,94.602985,-72.942915,39.435153,-49.137010,44.601431,-30.800828,38.921742
3.6,-99.528516,-57.432555,-157.374015,-17.583614,-127.987757,39.269684,-50.003188,98.434420,-33.707802,98.534358,-79.189367,41.732563,-48.298930,51.664361,-32.602427,42.573548
3.7,-103.230159,-69.358404,-175.399141,-41.012163,-127.996956,44.124761,-46.746537,109.601437,-39.816611,101.838963,-83.846701,45.923809,-47.913315,58.354304,-35.297546,45.701827
3.8,-91.771219,-64.189559,-176.194222,-52.673011,-122.943708,50.143888,-43.977889,120.696650,-47.256389,104.149543,-86.113932,52.354408,-48.352388,64.466681,-38.655771,48.499283
3.9,-69.228769,-45.653698,-159.702096,-51.023302,-116.366369,55.436640,-43.121382,131.014127,-56.921701,105.091380,-87.311876,59.930484,-48.975652,70.542159,-41.582465,51.738487
4,-42.556092,-21.074477,-133.587492,-41.057359,-110.774687,59.471318,-45.300428,140.054655,-68.638113,104.519285,-86.989251,68.812979,-50.421490,76.165610,-45.084939,54.985807
4.1,-16.504951,4.114815,-101.680394,-24.002912,-109.258187,60.743241,-51.663042,145.737758,-81.913374,103.007433,-86.087940,78.094101,-52.847165,81.180315,-48.957409,58.019364
4.2,5.011652,25.543510,-67.850785,-0.852830,-106.929353,61.433091,-62.750309,146.017031,-95.229599,101.915521,-84.761750,87.659873,-56.016015,85.569260,-52.838792,61.450943
4.3,20.116772,40.984939,-34.658229,26.665347,-99.745490,62.841942,-78.395445,139.651205,-108.226850,101.392167,-83.512349,97.015894,-59.790707,89.691418,-57.102912,64.872357
4.4,29.612559,51.050192,-5.641161,54.103496,-87.854956,64.155509,-96.737621,127.988041,-119.216324,103.067082,-82.690988,105.919091,-64.510317,93.080009,-61.321286,68.249494
4.5,34.628886,56.788943,17.024500,77.665526,-73.929866,64.250914,-115.577264,113.479672,-127.648140,106.519636,-82.713155,114.663211,-69.746231,96.686721,-65.177299,72.419019
4.6,35.961057,58.790292,31.979706,94.837297,-58.325172,66.723844,-132.133393,97.941386,-133.117677,112.726291,-83.591402,122.746015,-75.836877,99.911614,-69.153456,76.803993
4.7,33.419575,56.907656,40.306700,106.103663,-41.651940,74.629682,-141.998885,84.417651,-136.647489,118.314540,-85.235791,130.821120,-81.787446,103.509118,-73.037515,81.378442
4.8,29.260526,53.421410,42.753653,111.790495,-25.707433,87.200469,-143.605078,74.111192,-139.133685,121.681814,-88.294111,137.584813,-87.877208,107.149790,-77.325423,85.529495
4.9,24.246183,49.151927,39.714825,111.867133,-12.393175,100.862535,-137.904809,67.415794,-141.983287,121.492340,-92.995469,143.425447,-93.905488,111.159150,-81.554595,90.089415
5,18.225661,43.969449,33.588741,108.901413,-3.967044,112.328432,-127.405804,63.775799,-145.180774,118.984346,-99.340943,148.044578,-99.899867,115.198912,-85.638747,94.690656
5.1,11.270630,37.884158,24.081221,102.477789,-1.493364,119.408531,-114.758026,64.134853,-148.256733,114.975653,-106.543370,151.970978,-105.732930,119.613655,-89.651244,99.790203
5.2,4.269484,31.818432,11.811768,93.075722,-4.104408,121.672244,-100.622390,70.876432,-148.633195,110.453047,-115.296329,152.814921,-111.661874,124.611657,-92.833579,105.365846
5.3,-2.699861,25.628212,-1.845029,82.239293,-11.676432,118.946181,-86.487642,82.149530,-143.599185,107.234927,-125.617731,149.588591,-117.064093,130.164250,-95.991724,111.668220
5.4,-9.448394,19.599908,-16.699993,69.882071,-22.760359,112.336345,-75.678034,94.144998,-135.890930,103.711079,-137.118712,142.867808,-122.297052,135.706074,-100.348479,117.079188
5.5,-15.995749,13.544451,-31.637107,57.014581,-35.634638,103.394963,-67.773953,105.128272,-125.625225,100.874478,-148.286617,134.692488,-127.165176,141.782183,-104.090131,123.074589
5.6,-22.007915,7.782833,-45.385242,44.736980,-49.611761,92.704019,-63.573725,113.480238,-114.724295,100.216996,-157.599265,126.329804,-131.223082,148.269961,-108.470030,128.974022
5.7,-27.571970,2.264484,-58.355588,32.856051,-63.028192,82.055591,-62.539108,118.492403,-103.414181,104.128057,-162.334944,118.554403,-135.621111,152.771499,-112.358046,135.747706
5.8,-31.842394,-2.225429,-68.784854,22.938137,-74.924335,72.090023,-63.186283,121.416259,-92.464236,112.133534,-159.939355,113.083651,-140.801949,153.272357,-116.691838,142.240001
5.9,-35.172748,-5.958580,-76.830050,14.714505,-84.477255,63.749492,-66.021535,121.862554,-83.387162,121.884224,-152.461861,108.766819,-146.240556,150.729381,-121.504752,148.170772
6,-35.590253,-6.927440,-81.119952,9.707623,-91.489617,57.135640,-69.257113,121.534527,-77.412579,130.864176,-141.960164,105.780263,-153.198440,145.721460,-126.215212,154.398442
6.1,-34.439577,-6.450785,-82.358119,7.297546,-95.119785,53.564901,-73.217484,119.851098,-74.635160,137.532754,-130.852268,105.539446,-159.107237,139.495576,-131.252458,160.085458
6.2,-31.496511,-4.238369,-79.769513,8.362869,-96.749434,51.450827,-77.321321,117.573263,-74.950121,141.575124,-119.207588,109.988499,-161.619312,132.978690,-137.355199,162.527116
6.3,-27.207101,-0.573685,-74.514343,11.810066,-96.050433,51.177612,-81.359927,114.822235,-77.417765,143.057115,-108.492606,118.144900,-159.064590,127.610524,-144.143477,161.531794
6.4,-21.386562,4.733548,-67.026598,17.469673,-93.565590,52.410724,-85.523449,111.286675,-82.177593,141.774501,-99.650060,127.736265,-152.462489,122.716323,-151.007298,157.499200
6.5,-15.502564,10.308634,-58.623493,24.144451,-89.623243,54.806080,-90.706011,106.832563,-87.910060,139.165870,-94.053227,135.930001,-143.663281,119.060328,-158.638842,151.411346
6.6,-9.805985,15.904141,-49.994266,31.391600,-85.600974,57.342244,-94.862039,103.004711,-94.536415,134.786016,-91.644147,141.981612,-133.569201,118.170663,-165.592798,144.074112
6.7,-5.475900,20.266600,-41.118307,39.227166,-80.440225,60.946835,-98.175566,99.624760,-101.035872,130.048759,-92.067803,145.250870,-124.410533,120.879701,-167.986091,138.062881
6.8,-1.567344,24.305583,-33.285711,46.373319,-74.710863,65.248799,-100.991478,96.489715,-106.863318,125.790976,-94.356090,146.582783,-116.032498,127.174832,-165.591825,132.388744
6.9,0.721312,26.820265,-27.252662,52.199848,-69.528364,69.037833,-102.244141,94.474969,-112.335597,121.539990,-98.233552,146.144114,-109.420283,135.258553,-159.117224,127.700643
7,1.801533,28.093327,-22.859666,56.714694,-64.080574,73.333965,-103.297555,92.387061,-116.386574,118.095385,-102.433589,144.745835,-104.994186,142.700261,-149.857841,124.181899
7.1,1.362035,27.867653,-19.922087,60.084540,-59.366391,77.180583,-102.525519,91.758608,-119.500826,115.370066,-107.192538,142.431833,-103.241403,148.234212,-140.228714,123.331321
7.2,0.290247,27.006863,-18.039234,62.565609,-55.951793,80.024082,-101.411780,91.790582,-121.790413,112.876515,-111.850892,139.783482,-103.629478,151.636749,-130.415145,126.567045
7.3,-1.343318,25.519317,-18.288289,62.957570,-52.881130,82.810153,-99.035182,92.803783,-123.556149,110.624498,-116.670530,136.488715,-105.561877,153.205150,-122.337069,132.552270
