r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
0.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000460,-0.000463,0.023779,0.023696,0.020091,0.020065
0.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000925,0.000928,0.196450,0.196728,0.055202,0.054888
0.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003649,0.003778,0.507595,0.509696,0.206527,0.205575
0.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036498,0.035910,0.837955,0.840356,0.443524,0.444790
0.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138979,0.139768,0.896590,0.913202,0.984004,0.979213
0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.477181,0.482605,0.571432,0.593409,1.677754,1.668063
0.7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.346906,1.353337,0.049831,0.068302,2.534967,2.509144
0.8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.061370,3.069135,-0.520182,-0.504850,3.165066,3.145106
0.9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000451,0.000638,5.863747,5.856393,-1.254547,-1.243268,3.010879,2.972724
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021035,0.019800,9.605395,9.593721,-2.115316,-2.095632,1.646814,1.618767
1.1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214839,0.216607,13.450028,13.450645,-3.213232,-3.207067,-0.076164,-0.042995
1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.430013,1.439931,16.213036,16.222389,-4.073439,-4.065246,-1.655992,-1.632698
1.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.001150,6.231918,6.272476,17.277400,17.292610,-4.651289,-4.663681,-3.269015,-3.257206
1.4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018325,0.017639,19.298282,19.365225,16.335148,16.341080,-4.642845,-4.679228,-4.751000,-4.731091
1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288820,0.284565,42.565734,42.567383,14.349360,14.345335,-3.479365,-3.438380,-5.682696,-5.724760
1.6,0.000000,0.000000,0.000000,0.000000,0.005695,0.005759,2.267970,2.270855,72.734975,72.749696,12.083883,12.026591,-1.317381,-1.248578,-6.215839,-6.269771
1.7,0.000000,0.000000,0.000000,0.000000,0.370708,0.370452,10.475969,10.507613,100.611576,100.573778,10.712229,10.661278,1.597534,1.652438,-5.958337,-5.983383
1.8,0.000000,0.000000,0.020224,0.020421,4.946224,4.943529,31.916856,31.942662,114.486263,114.420162,10.951042,10.884094,5.198004,5.261789,-4.189711,-4.189071
1.9,0.006365,0.006406,1.689118,1.691095,23.130101,23.129737,70.167092,70.301291,107.553065,107.554781,13.081095,13.022417,9.294716,9.410722,-1.371302,-1.326695
2,1.324915,1.326093,20.990790,20.988177,58.687644,58.666688,118.509876,118.694726,87.883116,87.867079,17.218403,17.189397,14.236746,14.432871,2.380478,2.367702
2.1,26.011115,26.005665,77.808453,77.853177,102.479100,102.399845,166.582431,166.695434,67.634385,67.579673,23.315758,23.298380,19.666996,19.795279,5.864081,5.910043
2.2,111.513282,111.501105,150.984753,151.060338,144.859302,144.742672,204.235318,204.260234,54.851891,54.811525,30.587991,30.560084,25.324270,25.484853,8.817777,8.862124
2.3,228.703391,228.690577,212.263146,212.406119,181.063345,180.945858,216.019743,216.079709,49.368423,49.327107,38.316636,38.330008,30.952960,31.068984,11.759397,11.745583
2.4,339.324695,339.292749,256.537951,256.692512,211.502624,211.356419,191.770586,191.795373,49.593993,49.439077,46.674026,46.591277,36.692058,36.713483,14.523973,14.474821
2.5,443.262729,443.231264,290.275576,290.463955,238.083496,237.892462,154.343039,154.362082,53.350813,53.213697,54.531960,54.542287,42.070481,42.100076,17.334844,17.254466
2.6,535.971437,536.006741,320.592534,320.684130,261.212747,261.059575,127.803601,127.818223,59.899681,59.812587,63.216741,63.091645,46.959878,46.963623,19.789145,19.647100
2.7,601.044714,601.072965,353.574866,353.567704,272.831904,272.749553,113.932167,113.889673,68.320169,68.270168,72.122469,71.959340,51.384402,51.356564,22.232273,22.181008
2.8,637.674279,637.734276,393.319658,393.277629,257.699462,257.596770,107.572435,107.559999,77.892393,77.805751,81.981284,81.730445,55.436214,55.382638,25.090228,24.957930
2.9,654.667300,654.749065,426.362044,426.347673,220.902647,220.711586,105.768337,105.783703,88.357795,88.283507,91.818127,91.449125,58.610378,58.564374,28.112945,28.059006
3,646.274772,646.336485,407.967557,408.004756,186.129621,186.029123,107.308066,107.369768,99.078996,99.186788,100.920640,100.482201,61.186181,61.115273,31.647207,31.706080
3.1,552.343648,552.401799,349.277548,349.410329,170.745912,170.768338,112.123380,112.298451,110.431766,110.569561,109.184448,108.736221,63.425438,63.456889,35.889931,35.977800
3.2,383.517721,383.543331,302.026199,302.143789,176.227688,176.379641,121.038844,121.343029,121.624750,121.691321,115.987227,115.526643,66.254798,66.209110,40.631046,40.858252
3.3,225.057637,225.102310,283.660225,283.708743,195.703888,195.900860,133.365017,133.711831,134.008824,134.150324,121.445370,121.228610,69.438095,69.458571,45.610615,45.956307
3.4,102.777361,102.882982,281.616557,281.717791,222.111887,222.357771,149.868348,150.322825,148.220362,148.389851,126.048587,126.014021,73.719532,73.842882,51.291960,51.709384
3.5,12.818043,12.859630,279.871075,280.004776,249.977954,250.030731,170.706744,171.076974,164.640108,164.899554,129.593733,129.810569,78.912720,79.032070,57.476827,57.758255
3.6,-28.016123,-27.943843,267.683405,267.906970,274.973402,275.053565,195.503814,195.816550,183.728378,184.096287,132.672656,133.185082,85.738149,85.861813,64.313911,64.283556
3.7,-15.141417,-15.121969,241.913529,242.163503,292.133285,292.127622,222.799827,222.879783,203.720891,204.113542,135.820713,136.457657,92.935270,93.047911,71.258003,71.254284
3.8,34.139818,34.142074,205.842146,206.185980,298.261211,298.195830,252.186889,252.217287,223.941761,224.348713,139.237549,139.854135,101.835845,101.734270,78.245380,78.280794
3.9,98.219622,98.309225,166.893698,166.994884,294.896820,294.643647,282.679641,282.500208,242.059142,242.148903,142.997706,143.599042,110.954122,110.710050,85.625606,85.738364
4,163.928389,163.948663,138.659481,138.654739,286.065514,285.800271,312.067678,311.637970,256.559403,256.431751,148.384763,148.963781,120.476252,120.361783,92.483674,92.596979
4.1,224.713893,224.761303,134.493669,134.305172,273.334929,272.886695,337.650993,337.148365,267.517533,267.242425,155.008303,155.520575,130.430393,130.468534,99.313925,99.420684
4.2,280.080589,280.034683,156.847852,156.787462,260.863661,260.514333,354.793250,354.397165,273.939603,273.293949,164.236883,164.703241,140.623820,140.733356,106.070340,106.174072
4.3,329.462130,329.379208,196.961708,196.925467,249.447284,248.991624,360.521790,360.271114,276.640866,275.664602,175.135339,175.663125,150.267424,150.557619,112.857743,112.806511
4.4,372.442720,372.349749,243.188902,243.183301,240.249467,239.927532,355.669776,355.265240,277.115521,276.263894,187.546503,187.561741,158.886809,159.359922,118.685549,118.737472
4.5,406.854353,406.796620,287.547809,287.531142,234.491945,234.358408,341.873730,341.720002,275.482930,274.822172,201.421202,201.346278,167.082943,167.591586,124.615335,124.503611
4.6,431.919986,431.889683,324.550237,324.524124,235.871749,235.747303,323.439418,323.469718,273.718735,273.105305,215.274409,214.965963,175.247217,175.512327,130.599068,130.359365
4.7,447.865683,447.774410,353.356695,353.360128,247.808842,247.792103,301.398227,301.347995,271.579930,271.323965,228.995767,228.521474,182.726526,182.922048,136.651925,136.162654
4.8,454.295611,454.229003,372.727500,372.649699,266.609490,266.677866,278.323623,278.162490,267.783853,267.839943,241.598842,241.068278,190.874773,190.730957,142.760637,142.614578
4.9,452.260024,452.218039,384.613770,384.560116,286.717166,286.975946,254.256445,254.110147,262.810615,262.875618,253.034283,252.091553,198.073482,198.012417,149.702374,149.509017
5,443.778500,443.763476,388.978531,388.880593,304.263109,304.426391,230.388870,230.330452,256.472600,256.948868,263.980880,262.767659,205.386658,205.021474,156.218357,156.316220
5.1,428.925006,428.959303,386.323854,386.292229,316.044992,316.121879,212.807330,212.696829,249.353107,250.122329,272.787024,271.737749,211.999974,211.586240,163.075487,163.286732
5.2,409.561836,409.604732,379.254137,379.304949,322.349874,322.501131,205.174020,205.173353,241.613441,242.682800,276.719726,276.245509,218.650637,218.403300,170.403803,170.245276
5.3,385.779234,385.826191,367.886670,367.902105,322.017063,322.060497,209.377922,209.464317,232.256620,233.169292,276.114225,275.731471,226.029723,225.942982,178.197810,178.318760
5.4,359.124378,359.200351,353.878749,353.861990,318.265037,318.244788,219.880442,220.198047,222.627584,223.739846,270.683901,270.627166,234.008179,234.341115,186.408400,186.674328
5.5,331.563228,331.620145,336.956437,337.067626,310.789287,310.655885,232.208255,232.764767,213.666496,214.511471,262.132602,262.159608,242.045411,242.356478,194.920447,195.281711
5.6,304.844028,304.884386,319.162978,319.281357,301.275172,301.139537,244.088822,244.611242,207.117065,207.628645,251.927417,252.474104,249.507394,249.529507,203.353664,203.766341
5.7,280.991056,280.990013,301.179016,301.266267,291.684729,291.614978,253.891468,254.335745,208.580590,208.853520,241.230888,241.978016,254.597032,254.287489,211.582678,212.055165
5.8,261.484429,261.501720,284.511983,284.497686,282.955127,282.949424,261.179302,261.304860,217.016197,216.916814,230.259152,231.215565,255.946771,255.892003,221.038752,221.570643
5.9,247.739927,247.775816,270.567434,270.601854,275.520020,275.449526,267.214071,267.167279,230.389152,230.019657,219.335056,220.864040,254.113209,253.721719,230.848205,231.254467
6,239.775620,239.815307,260.397715,260.441329,269.813896,269.701993,271.031496,270.941206,244.431836,243.928386,210.043218,211.360828,249.075286,248.593454,240.016854,240.330006
6.1,238.473138,238.497127,254.033793,254.117292,264.673447,264.523942,274.276136,274.066473,256.536920,256.071602,204.466424,205.336476,242.781510,241.835753,249.074224,249.314543
6.2,243.745536,243.746091,250.013364,250.091690,260.327491,260.156226,276.436307,276.367755,266.775422,265.807205,205.510427,205.946655,234.329909,233.940019,254.424129,254.941924
6.3,254.399785,254.395288,248.807699,248.889127,258.146580,258.036610,278.585530,278.297495,273.270594,272.457087,212.364585,212.657274,225.851124,225.921781,255.107416,255.541977
6.4,268.083008,268.041169,250.180334,250.235917,255.982125,255.811811,279.750355,279.469114,277.031556,276.145040,222.071642,222.237003,217.003183,217.393329,252.239554,252.798866
6.5,283.842644,283.817033,253.970686,254.112722,255.478493,255.346650,280.187831,280.007321,278.926107,278.130875,231.949081,231.993955,208.372769,208.926218,246.308827,246.723344
6.6,300.031324,299.961914,260.139076,260.262148,255.463617,255.429223,279.110764,278.966234,277.930170,277.425971,240.485349,240.402320,202.817763,203.174477,238.233551,238.716774
6.7,314.332390,314.285521,267.973512,268.121129,255.676144,255.704538,277.342904,277.143401,275.553045,275.077474,247.041566,246.926832,203.519775,204.081598,229.290738,229.668065
6.8,326.527527,326.530446,276.444748,276.517661,256.612689,256.674298,275.139706,274.999112,272.157593,271.984668,251.208148,251.067200,209.691172,210.176110,219.891358,220.259630
