pair,d_angstrom,atom_index,atom_name,charge_e,radius_angstrom,phi_solv_kBT_per_e,phi_ref_kBT_per_e,reaction_kBT_per_e,reaction_kcal_per_mol_e
K_K,1,1,K,1.0,1.886,17859.64,18389.31,-529.6700000000019,-315.76874390228767
K_K,1,2,K,1.0,1.886,17859.64,18389.31,-529.6700000000019,-315.76874390228767
K_K,2,1,K,1.0,1.886,16645.01,17138.83,-493.82000000000335,-294.3963621006064
K_K,2,2,K,1.0,1.886,16645.01,17138.83,-493.82000000000335,-294.3963621006064
K_K,3,1,K,1.0,1.886,15790.97,16253.92,-462.9500000000007,-275.9928634613321
K_K,3,2,K,1.0,1.886,15790.97,16253.92,-462.9500000000007,-275.9928634613321
K_K,4,1,K,1.0,1.886,15311.36,15741.32,-429.9599999999991,-256.32550291356284
K_K,4,2,K,1.0,1.886,15311.36,15741.32,-429.9599999999991,-256.32550291356284
K_K,5,1,K,1.0,1.886,15310.89,15713.46,-402.5699999999997,-239.99664552031152
K_K,5,2,K,1.0,1.886,15310.89,15713.46,-402.5699999999997,-239.99664552031152
K_K,6,1,K,1.0,1.886,15776.83,16161.06,-384.22999999999956,-229.06304768926958
K_K,6,2,K,1.0,1.886,15776.83,16161.06,-384.22999999999956,-229.06304768926958
K_K,7,1,K,1.0,1.886,16568.62,16939.81,-371.1900000000023,-221.2891046294683
K_K,7,2,K,1.0,1.886,16568.62,16939.81,-371.1900000000023,-221.2891046294683
K_K,8,1,K,1.0,1.886,17539.94,17901.3,-361.3600000000006,-215.42883927073547
K_K,8,2,K,1.0,1.886,17539.94,17901.3,-361.3600000000006,-215.42883927073547
CL_CL,1,1,CL,-1.0,1.773,-17828.47,-18389.31,560.8400000000001,334.351090924837
CL_CL,1,2,CL,-1.0,1.773,-17828.47,-18389.31,560.8400000000001,334.351090924837
CL_CL,2,1,CL,-1.0,1.773,-16617.94,-17138.83,520.890000000003,310.5344478850284
CL_CL,2,2,CL,-1.0,1.773,-16617.94,-17138.83,520.890000000003,310.5344478850284
CL_CL,3,1,CL,-1.0,1.773,-15767.75,-16253.92,486.1700000000001,289.83572832702373
CL_CL,3,2,CL,-1.0,1.773,-15767.75,-16253.92,486.1700000000001,289.83572832702373
CL_CL,4,1,CL,-1.0,1.773,-15292.68,-15741.32,448.6399999999994,267.46179557898625
CL_CL,4,2,CL,-1.0,1.773,-15292.68,-15741.32,448.6399999999994,267.46179557898625
CL_CL,5,1,CL,-1.0,1.773,-15292.25,-15713.46,421.2099999999991,251.10909173463068
CL_CL,5,2,CL,-1.0,1.773,-15292.25,-15713.46,421.2099999999991,251.10909173463068
CL_CL,6,1,CL,-1.0,1.773,-15758.13,-16161.06,402.9300000000003,240.21126358024506
CL_CL,6,2,CL,-1.0,1.773,-15758.13,-16161.06,402.9300000000003,240.21126358024506
CL_CL,7,1,CL,-1.0,1.773,-16549.86,-16939.81,389.9500000000007,232.47309019709795
CL_CL,7,2,CL,-1.0,1.773,-16549.86,-16939.81,389.9500000000007,232.47309019709795
CL_CL,8,1,CL,-1.0,1.773,-17521.18,-17901.3,380.119999999999,226.6128248383651
CL_CL,8,2,CL,-1.0,1.773,-17521.18,-17901.3,380.119999999999,226.6128248383651
K_CL,1,1,K,1.0,1.886,17251.79,17274.04,-22.25,-13.26458842642754
K_CL,1,2,CL,-1.0,1.773,-17241.9,-17274.04,32.13999999999942,19.160623461814538
K_CL,2,1,K,1.0,1.886,16514.68,16581.63,-66.95000000000073,-39.912997534801505
K_CL,2,2,CL,-1.0,1.773,-16499.72,-16581.63,81.90999999999985,48.83157024758103
K_CL,3,1,K,1.0,1.886,15768.96,15882.52,-113.56000000000131,-67.70007468337658
K_CL,3,2,CL,-1.0,1.773,-15751.23,-15882.52,131.29000000000087,78.2700141350869
K_CL,4,1,K,1.0,1.886,15307.79,15462.78,-154.98999999999978,-92.39903641402255
K_CL,4,2,CL,-1.0,1.773,-15289.18,-15462.78,173.60000000000036,103.49359779001465
K_CL,5,1,K,1.0,1.886,15308.1,15490.64,-182.53999999999905,-108.82327961168858
K_CL,5,2,CL,-1.0,1.773,-15289.47,-15490.64,201.17000000000007,119.92976421323277
K_CL,6,1,K,1.0,1.886,15774.51,15975.38,-200.86999999999898,-119.75091582995445
K_CL,6,2,CL,-1.0,1.773,-15755.81,-15975.38,219.5699999999997,130.89913172092994
K_CL,7,1,K,1.0,1.886,16566.64,16780.65,-214.01000000000204,-127.58447501751843
K_CL,7,2,CL,-1.0,1.773,-16547.88,-16780.65,232.77000000000044,138.76846058514806
K_CL,8,1,K,1.0,1.886,17538.21,17762.05,-223.84000000000015,-133.44474037624911
K_CL,8,2,CL,-1.0,1.773,-17519.44,-17762.05,242.61000000000058,144.63468755665588
